Model: yoshitomo-matsubara/bert-large-uncased-cola  Arch: bert  Layers: 24
Magnitude bins: 13 bins from 1e-08 to 1e+05

Probe: input_ids (Input IDs)  [global]
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  All      1,094,528    91.151     8.849     8.849  |   0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.57    6.66    0.62

Probe: after_embed (After Embedding)  [global]
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  All  1,120,796,672     0.000     3.756     0.000  |   0.00    0.00    0.00    0.02    0.15    1.70   16.61   77.76    3.76    0.00    0.00    0.00    0.00

Probe: query_proj (XW_q + b_q)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L9      1,120,796,672     0.000    14.318     0.000  |   0.00    0.00    0.00    0.02    0.16    1.56   15.33   68.63   14.32    0.00    0.00    0.00    0.00
  L10     1,120,796,672     0.000    27.572     0.000  |   0.00    0.00    0.00    0.01    0.09    0.91    9.09   62.32   27.57    0.00    0.00    0.00    0.00
  L11     1,120,796,672     0.000    26.787     0.000  |   0.00    0.00    0.00    0.01    0.08    0.83    8.31   63.98   26.79    0.00    0.00    0.00    0.00
  L12     1,120,796,672     0.000    29.114     0.000  |   0.00    0.00    0.00    0.01    0.08    0.79    7.91   62.09   29.11    0.00    0.00    0.00    0.00
  L13     1,120,796,672     0.000    33.281     0.000  |   0.00    0.00    0.00    0.01    0.07    0.71    7.07   58.86   33.28    0.00    0.00    0.00    0.00
  L14     1,120,796,672     0.000    29.193     0.000  |   0.00    0.00    0.00    0.01    0.08    0.78    7.73   62.21   29.19    0.00    0.00    0.00    0.00
  L15     1,120,796,672     0.000    23.974     0.000  |   0.00    0.00    0.00    0.01    0.09    0.87    8.69   66.36   23.97    0.00    0.00    0.00    0.00
  L16     1,120,796,672     0.000    35.305     0.000  |   0.00    0.00    0.00    0.01    0.07    0.68    6.83   57.10   35.30    0.00    0.00    0.00    0.00
  L17     1,120,796,672     0.000    40.496     0.000  |   0.00    0.00    0.00    0.01    0.06    0.61    6.10   52.73   40.50    0.00    0.00    0.00    0.00
  L18     1,120,796,672     0.000    33.489     0.000  |   0.00    0.00    0.00    0.01    0.07    0.71    7.14   58.57   33.49    0.00    0.00    0.00    0.00
  L19     1,120,796,672     0.000    30.243     0.000  |   0.00    0.00    0.00    0.01    0.08    0.79    7.84   61.04   30.24    0.00    0.00    0.00    0.00
  L20     1,120,796,672     0.000    32.817     0.000  |   0.00    0.00    0.00    0.01    0.07    0.74    7.55   58.81   32.82    0.00    0.00    0.00    0.00
  L21     1,120,796,672     0.000    36.724     0.000  |   0.00    0.00    0.00    0.01    0.08    0.78    7.70   54.71   36.72    0.00    0.00    0.00    0.00
  L22     1,120,796,672     0.000    38.042     0.000  |   0.00    0.00    0.00    0.01    0.08    0.75    7.45   53.67   38.04    0.00    0.00    0.00    0.00
  L23     1,120,796,672     0.000    40.930     0.000  |   0.00    0.00    0.00    0.01    0.08    0.79    7.63   50.56   40.93    0.00    0.00    0.00    0.00
  AGG   26,899,120,128     0.000    25.350     0.000  |   0.00    0.00    0.00    0.01    0.11    1.06   10.49   62.98   25.35    0.00    0.00    0.00    0.00

Probe: value_proj (XW_v + b_v)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      1,120,796,672     0.000     1.451     0.000  |   0.00    0.00    0.00    0.02    0.22    2.17   21.11   75.03    1.45    0.00    0.00    0.00    0.00
  L1      1,120,796,672     0.000     7.691     0.000  |   0.00    0.00    0.00    0.01    0.13    1.33   13.16   77.67    7.69    0.00    0.00    0.00    0.00
  L2      1,120,796,672     0.000     2.215     0.000  |   0.00    0.00    0.00    0.02    0.20    1.96   19.28   76.32    2.22    0.00    0.00    0.00    0.00
  L3      1,120,796,672     0.000     0.944     0.000  |   0.00    0.00    0.00    0.03    0.26    2.58   24.83   71.36    0.94    0.00    0.00    0.00    0.00
  L4      1,120,796,672     0.000     0.612     0.000  |   0.00    0.00    0.00    0.03    0.29    2.88   27.78   68.42    0.61    0.00    0.00    0.00    0.00
  L5      1,120,796,672     0.000     0.714     0.000  |   0.00    0.00    0.00    0.04    0.41    4.08   38.07   56.68    0.71    0.00    0.00    0.00    0.00
  L6      1,120,796,672     0.000     0.829     0.000  |   0.00    0.00    0.01    0.05    0.54    5.38   47.35   45.84    0.83    0.00    0.00    0.00    0.00
  L7      1,120,796,672     0.000     1.004     0.000  |   0.00    0.00    0.01    0.07    0.66    6.58   54.82   36.87    1.00    0.00    0.00    0.00    0.00
  L8      1,120,796,672     0.000     0.847     0.000  |   0.00    0.00    0.01    0.05    0.52    5.17   46.34   47.07    0.85    0.00    0.00    0.00    0.00
  L9      1,120,796,672     0.000     1.380     0.000  |   0.00    0.00    0.00    0.04    0.39    3.95   36.83   57.41    1.38    0.00    0.00    0.00    0.00
  L10     1,120,796,672     0.000     1.118     0.000  |   0.00    0.00    0.00    0.03    0.30    2.98   28.53   67.04    1.12    0.00    0.00    0.00    0.00
  L11     1,120,796,672     0.000     3.252     0.000  |   0.00    0.00    0.00    0.02    0.20    1.96   18.92   75.64    3.25    0.00    0.00    0.00    0.00
  L12     1,120,796,672     0.000     3.543     0.000  |   0.00    0.00    0.00    0.02    0.18    1.81   17.31   77.14    3.54    0.00    0.00    0.00    0.00
