Model: yoshitomo-matsubara/bert-large-uncased-cola  Arch: bert  Layers: 24
Magnitude bins: 13 bins from 1e-08 to 1e+05

Probe: input_ids (Input IDs)  [global]
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  All      1,094,528    91.151     8.849     8.849  |   0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.57    6.66    0.62

Probe: after_embed (After Embedding)  [global]
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  All  1,120,796,672     0.000     3.756     0.000  |   0.00    0.00    0.00    0.02    0.15    1.70   16.61   77.76    3.76    0.00    0.00    0.00    0.00

Probe: query_proj (XW_q + b_q)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L1      1,120,796,672     0.000     0.316     0.000  |   0.00    0.00    0.01    0.07    0.73    7.26   57.94   33.68    0.32    0.00    0.00    0.00    0.00
  L2      1,120,796,672     0.000     0.041     0.000  |   0.00    0.00    0.01    0.07    0.71    7.04   57.72   34.42    0.04    0.00    0.00    0.00    0.00
  L3      1,120,796,672     0.000     0.071     0.000  |   0.00    0.00    0.01    0.08    0.80    7.96   62.93   28.15    0.07    0.00    0.00    0.00    0.00
  L4      1,120,796,672     0.000     0.011     0.000  |   0.00    0.00    0.01    0.08    0.83    8.23   63.78   27.07    0.01    0.00    0.00    0.00    0.00
  L5      1,120,796,672     0.000     0.020     0.000  |   0.00    0.00    0.01    0.09    0.92    9.18   68.75   21.03    0.02    0.00    0.00    0.00    0.00
  L6      1,120,796,672     0.000     0.009     0.000  |   0.00    0.00    0.01    0.09    0.92    9.12   68.15   21.70    0.01    0.00    0.00    0.00    0.00
  L7      1,120,796,672     0.000     0.014     0.000  |   0.00    0.00    0.01    0.08    0.75    7.51   61.41   30.23    0.01    0.00    0.00    0.00    0.00
  L8      1,120,796,672     0.000     0.017     0.000  |   0.00    0.00    0.01    0.07    0.74    7.37   60.56   31.23    0.02    0.00    0.00    0.00    0.00
  L9      1,120,796,672     0.000     0.416     0.000  |   0.00    0.00    0.01    0.06    0.65    6.44   54.25   38.17    0.42    0.00    0.00    0.00    0.00
  L10     1,120,796,672     0.000     0.380     0.000  |   0.00    0.00    0.01    0.06    0.62    6.14   51.41   41.38    0.38    0.00    0.00    0.00    0.00
  L11     1,120,796,672     0.000     0.293     0.000  |   0.00    0.00    0.01    0.07    0.74    7.35   55.46   36.08    0.29    0.00    0.00    0.00    0.00
  L12     1,120,796,672     0.000     0.366     0.000  |   0.00    0.00    0.01    0.07    0.69    6.92   52.34   39.61    0.37    0.00    0.00    0.00    0.00
  L13     1,120,796,672     0.000     0.640     0.000  |   0.00    0.00    0.01    0.06    0.63    6.25   46.52   45.89    0.64    0.00    0.00    0.00    0.00
  L14     1,120,796,672     0.000     0.414     0.000  |   0.00    0.00    0.01    0.08    0.77    7.66   52.95   38.12    0.41    0.00    0.00    0.00    0.00
  L15     1,120,796,672     0.000     0.412     0.000  |   0.00    0.00    0.01    0.08    0.81    8.11   56.99   33.59    0.41    0.00    0.00    0.00    0.00
  L16     1,120,796,672     0.000     0.821     0.000  |   0.00    0.00    0.01    0.07    0.68    6.75   50.90   40.78    0.82    0.00    0.00    0.00    0.00
  L17     1,120,796,672     0.000     0.501     0.000  |   0.00    0.00    0.01    0.05    0.50    5.00   42.99   50.95    0.50    0.00    0.00    0.00    0.00
  L18     1,120,796,672     0.000     1.251     0.000  |   0.00    0.00    0.01    0.06    0.59    5.86   46.27   45.97    1.25    0.00    0.00    0.00    0.00
  L19     1,120,796,672     0.000     1.182     0.000  |   0.00    0.00    0.01    0.05    0.51    5.05   40.71   52.50    1.18    0.00    0.00    0.00    0.00
  L20     1,120,796,672     0.000     4.187     0.000  |   0.00    0.00    0.01    0.07    0.70    6.92   47.08   41.04    4.19    0.00    0.00    0.00    0.00
  L21     1,120,796,672     0.000     5.415     0.000  |   0.00    0.00    0.00    0.04    0.37    3.66   31.72   58.80    5.42    0.00    0.00    0.00    0.00
  L22     1,120,796,672     0.000     3.603     0.000  |   0.00    0.00    0.00    0.04    0.36    3.63   32.24   60.13    3.60    0.00    0.00    0.00    0.00
  L23     1,120,796,672     0.000     4.541     0.000  |   0.00    0.00    0.00    0.04    0.44    4.35   36.56   54.06    4.54    0.00    0.00    0.00    0.00
  AGG   26,899,120,128     0.000     1.040     0.000  |   0.00    0.00    0.01    0.07    0.66    6.62   51.93   39.67    1.04    0.00    0.00    0.00    0.00

Probe: attn_output (Attn × Wₒ)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      1,120,796,672     0.000     0.205     0.001  |   0.00    0.00    0.00    0.04    0.45    4.47   41.27   53.56    0.20    0.00    0.00    0.00    0.00
  L1      1,120,796,672     0.000     0.080     0.000  |   0.00    0.00    0.00    0.05    0.50    4.97   44.86   49.54    0.08    0.00    0.00    0.00    0.00
  L2      1,120,796,672     0.000     0.017     0.000  |   0.00    0.00    0.01    0.06    0.63    6.30   54.64   38.34    0.02    0.00    0.00    0.00    0.00
  L3      1,120,796,672     0.000     0.002     0.000  |   0.00    0.00    0.01    0.08    0.77    7.70   62.59   28.84    0.00    0.00    0.00    0.00    0.00
  L4      1,120,796,672     0.000     0.001     0.000  |   0.00    0.00    0.01    0.09    0.87    8.71   66.38   23.93    0.00    0.00    0.00    0.00    0.00
  L5      1,120,796,672     0.000     0.001     0.000  |   0.00    0.00    0.01    0.10    0.97    9.63   69.70   19.60    0.00    0.00    0.00    0.00    0.00
  L6      1,120,796,672     0.000     0.002     0.000  |   0.00    0.00    0.01    0.10    0.95    9.46   69.54   19.94    0.00    0.00    0.00    0.00    0.00
  L7      1,120,796,672     0.000     0.002     0.000  |   0.00    0.00    0.01    0.08    0.80    7.94   63.65   27.52    0.00    0.00    0.00    0.00    0.00
  L8      1,120,796,672     0.000     0.001     0.000  |   0.00    0.00    0.01    0.08    0.79    7.89   62.79   28.45    0.00    0.00    0.00    0.00    0.00
  L9      1,120,796,672     0.000     0.004     0.000  |   0.00    0.00    0.01    0.06    0.55    5.51   48.40   45.47    0.00    0.00    0.00    0.00    0.00
  L10     1,120,796,672     0.000     0.018     0.000  |   0.00    0.00    0.00    0.05    0.49    4.86   43.90   50.68    0.02    0.00    0.00    0.00    0.00
  L11     1,120,796,672     0.000     0.052     0.000  |   0.00    0.00    0.00    0.05    0.49    4.86   43.45   51.10    0.05    0.00    0.00    0.00    0.00
  L12     1,120,796,672     0.000     0.063     0.000  |   0.00    0.00    0.00    0.05    0.47    4.66   41.73   53.03    0.06    0.00    0.00    0.00    0.00
  L13     1,120,796,672     0.000     0.199     0.000  |   0.00    0.00    0.00    0.04    0.38    3.80   34.96   60.62    0.20    0.00    0.00    0.00    0.00
  L14     1,120,796,672     0.000     0.058     0.000  |   0.00    0.00    0.00    0.04    0.43    4.34   39.48   55.64    0.06    0.00    0.00    0.00    0.00
  L15     1,120,796,672     0.000     0.024     0.000  |   0.00    0.00    0.00    0.05    0.48    4.75   42.22   52.48    0.02    0.00    0.00    0.00    0.00
  L16     1,120,796,672     0.000     0.581     0.000  |   0.00    0.00    0.00    0.04    0.38    3.81   34.72   60.47    0.58    0.00    0.00    0.00    0.00
  L17     1,120,796,672     0.000     0.062     0.000  |   0.00    0.00    0.00    0.03    0.35    3.49   32.99   63.08    0.06    0.00    0.00    0.00    0.00
  L18     1,120,796,672     0.000     0.465     0.000  |   0.00    0.00    0.00    0.03    0.31    3.05   29.02   67.12    0.46    0.00    0.00    0.00    0.00
  L19     1,120,796,672     0.000     0.420     0.000  |   0.00    0.00    0.00    0.03    0.28    2.85   26.98   69.44    0.42    0.00    0.00    0.00    0.00
  L20     1,120,796,672     0.000     5.426     0.000  |   0.00    0.00    0.00    0.03    0.25    2.53   23.05   68.70    5.43    0.00    0.00    0.00    0.00
  L21     1,120,796,672     0.000     5.606     0.000  |   0.00    0.00    0.00    0.02    0.17    1.68   16.54   75.99    5.61    0.00    0.00    0.00    0.00
  L22     1,120,796,672     0.000     3.509     0.000  |   0.00    0.00    0.00    0.02    0.18    1.81   17.74   76.75    3.51    0.00    0.00    0.00    0.00
  L23     1,120,796,672     0.000     6.806     0.000  |   0.00    0.00    0.00    0.02    0.23    2.28   21.89   68.77    6.81    0.00    0.00    0.00    0.00
  AGG   26,899,120,128     0.000     0.983     0.000  |   0.00    0.00    0.01    0.05    0.51    5.06   43.02   50.38    0.98    0.00    0.00    0.00    0.00

Probe: post_attn_ln (Post-Attn sub-block)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      1,120,796,672     0.000    30.877     0.045  |   0.00    0.00    0.00    0.01    0.07    0.74    7.36   60.95   30.83    0.04    0.00    0.00    0.00
  L1      1,120,796,672     0.000    26.581     0.098  |   0.00    0.00    0.00    0.01    0.08    0.83    8.23   64.27   26.48    0.10    0.00    0.00    0.00
  L2      1,120,796,672     0.000    19.546     0.098  |   0.00    0.00    0.00    0.01    0.10    0.99    9.81   69.55   19.45    0.10    0.00    0.00    0.00
  L3      1,120,796,672     0.000    14.793     0.098  |   0.00    0.00    0.00    0.01    0.11    1.09   10.83   73.17   14.70    0.10    0.00    0.00    0.00
  L4      1,120,796,672     0.000    17.341     0.187  |   0.00    0.00    0.00    0.01    0.10    1.00    9.96   71.59   17.15    0.19    0.00    0.00    0.00
  L5      1,120,796,672     0.000    13.336     0.190  |   0.00    0.00    0.00    0.01    0.11    1.12   11.15   74.27   13.15    0.19    0.00    0.00    0.00
  L6      1,120,796,672     0.000    10.602     0.285  |   0.00    0.00    0.00    0.01    0.12    1.25   12.36   75.65   10.32    0.28    0.00    0.00    0.00
  L7      1,120,796,672     0.000     7.443     0.190  |   0.00    0.00    0.00    0.01    0.14    1.38   13.65   77.38    7.25    0.19    0.00    0.00    0.00
  L8      1,120,796,672     0.000     5.345     0.098  |   0.00    0.00    0.00    0.02    0.15    1.52   15.06   77.90    5.25    0.10    0.00    0.00    0.00
  L9      1,120,796,672     0.000     4.800     0.098  |   0.00    0.00    0.00    0.02    0.15    1.55   15.33   78.15    4.70    0.10    0.00    0.00    0.00
  L10     1,120,796,672     0.000     6.420     0.098  |   0.00    0.00    0.00    0.01    0.14    1.41   14.03   77.98    6.32    0.10    0.00    0.00    0.00
  L11     1,120,796,672     0.000     8.068     0.099  |   0.00    0.00    0.00    0.01    0.13    1.33   13.20   77.26    7.97    0.10    0.00    0.00    0.00
  L12     1,120,796,672     0.000    10.551     0.099  |   0.00    0.00    0.00    0.01    0.12    1.23   12.22   75.87   10.45    0.10    0.00    0.00    0.00
  L13     1,120,796,672     0.000    13.229     0.102  |   0.00    0.00    0.00    0.01    0.11    1.14   11.36   74.14   13.13    0.10    0.00    0.00    0.00
  L14     1,120,796,672     0.000    16.556     0.137  |   0.00    0.00    0.00    0.01    0.10    1.04   10.37   71.91   16.42    0.14    0.00    0.00    0.00
  L15     1,120,796,672     0.000    21.049     0.100  |   0.00    0.00    0.00    0.01    0.09    0.94    9.38   68.53   20.95    0.10    0.00    0.00    0.00
  L16     1,120,796,672     0.000    20.269     0.098  |   0.00    0.00    0.00    0.01    0.10    0.95    9.50   69.18   20.17    0.10    0.00    0.00    0.00
  L17     1,120,796,672     0.000    20.709     0.096  |   0.00    0.00    0.00    0.01    0.09    0.92    9.21   69.05   20.61    0.10    0.00    0.00    0.00
  L18     1,120,796,672     0.000    20.165     0.108  |   0.00    0.00    0.00    0.01    0.10    0.95    9.46   69.31   20.06    0.11    0.00    0.00    0.00
  L19     1,120,796,672     0.000    20.191     0.080  |   0.00    0.00    0.00    0.01    0.10    0.96    9.59   69.15   20.11    0.08    0.00    0.00    0.00
  L20     1,120,796,672     0.000    19.492     0.075  |   0.00    0.00    0.00    0.01    0.10    1.00    9.93   69.46   19.42    0.07    0.00    0.00    0.00
  L21     1,120,796,672     0.000    21.252     0.082  |   0.00    0.00    0.00    0.01    0.09    0.91    9.02   68.72   21.17    0.08    0.00    0.00    0.00
  L22     1,120,796,672     0.000    22.604     0.059  |   0.00    0.00    0.00    0.01    0.09    0.87    8.69   67.73   22.55    0.06    0.00    0.00    0.00
  L23     1,120,796,672     0.000    23.272     0.064  |   0.00    0.00    0.00    0.01    0.09    0.87    8.68   67.09   23.21    0.06    0.00    0.00    0.00
  AGG   26,899,120,128     0.000    16.437     0.112  |   0.00    0.00    0.00    0.01    0.11    1.08   10.77   71.59   16.33    0.11    0.00    0.00    0.00

Probe: gelu_input (FFN1 (GELU in))
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      4,483,186,688     0.000    87.820     0.122  |   0.00    0.00    0.00    0.00    0.01    0.11    1.11   10.94   87.70    0.12    0.00    0.00    0.00
  L1      4,483,186,688     0.000    92.087     0.029  |   0.00    0.00    0.00    0.00    0.01    0.06    0.63    7.22   92.06    0.03    0.00    0.00    0.00
  L2      4,483,186,688     0.000    91.608     0.003  |   0.00    0.00    0.00    0.00    0.01    0.07    0.70    7.62   91.60    0.00    0.00    0.00    0.00
  L3      4,483,186,688     0.000    92.897     0.000  |   0.00    0.00    0.00    0.00    0.01    0.06    0.56    6.48   92.90    0.00    0.00    0.00    0.00
  L4      4,483,186,688     0.000    90.660     0.010  |   0.00    0.00    0.00    0.00    0.01    0.07    0.75    8.51   90.65    0.01    0.00    0.00    0.00
  L5      4,483,186,688     0.000    92.225     0.000  |   0.00    0.00    0.00    0.00    0.01    0.05    0.54    7.18   92.23    0.00    0.00    0.00    0.00
  L6      4,483,186,688     0.000    94.812     0.000  |   0.00    0.00    0.00    0.00    0.00    0.04    0.40    4.74   94.81    0.00    0.00    0.00    0.00
  L7      4,483,186,688     0.000    94.906     0.004  |   0.00    0.00    0.00    0.00    0.00    0.04    0.41    4.64   94.90    0.00    0.00    0.00    0.00
  L8      4,483,186,688     0.000    90.803     0.014  |   0.00    0.00    0.00    0.00    0.01    0.09    0.91    8.19   90.79    0.01    0.00    0.00    0.00
  L9      4,483,186,688     0.000    87.899     0.000  |   0.00    0.00    0.00    0.00    0.01    0.10    0.96   11.03   87.90    0.00    0.00    0.00    0.00
  L10     4,483,186,688     0.000    81.960     0.001  |   0.00    0.00    0.00    0.00    0.01    0.13    1.30   16.60   81.96    0.00    0.00    0.00    0.00
  L11     4,483,186,688     0.000    78.718     0.002  |   0.00    0.00    0.00    0.00    0.02    0.16    1.58   19.53   78.72    0.00    0.00    0.00    0.00
  L12     4,483,186,688     0.000    82.667     0.003  |   0.00    0.00    0.00    0.00    0.01    0.12    1.23   15.96   82.66    0.00    0.00    0.00    0.00
  L13     4,483,186,688     0.000    81.981     0.001  |   0.00    0.00    0.00    0.00    0.01    0.13    1.27   16.61   81.98    0.00    0.00    0.00    0.00
  L14     4,483,186,688     0.000    84.831     0.000  |   0.00    0.00    0.00    0.00    0.01    0.11    1.06   13.99   84.83    0.00    0.00    0.00    0.00
  L15     4,483,186,688     0.000    82.858     0.000  |   0.00    0.00    0.00    0.00    0.01    0.13    1.28   15.71   82.86    0.00    0.00    0.00    0.00
  L16     4,483,186,688     0.000    80.785     0.001  |   0.00    0.00    0.00    0.00    0.01    0.14    1.41   17.65   80.78    0.00    0.00    0.00    0.00
  L17     4,483,186,688     0.000    73.950     0.025  |   0.00    0.00    0.00    0.00    0.02    0.19    1.93   23.90   73.93    0.02    0.00    0.00    0.00
  L18     4,483,186,688     0.000    70.982     0.036  |   0.00    0.00    0.00    0.00    0.02    0.22    2.22   26.55   70.95    0.04    0.00    0.00    0.00
  L19     4,483,186,688     0.000    71.657     0.008  |   0.00    0.00    0.00    0.00    0.02    0.21    2.07   26.04   71.65    0.01    0.00    0.00    0.00
  L20     4,483,186,688     0.000    64.877     0.020  |   0.00    0.00    0.00    0.00    0.03    0.26    2.59   32.24   64.86    0.02    0.00    0.00    0.00
  L21     4,483,186,688     0.000    67.382     0.026  |   0.00    0.00    0.00    0.00    0.02    0.22    2.23   30.14   67.36    0.03    0.00    0.00    0.00
  L22     4,483,186,688     0.000    64.559     0.024  |   0.00    0.00    0.00    0.00    0.03    0.26    2.58   32.57   64.53    0.02    0.00    0.00    0.00
  L23     4,483,186,688     0.000    75.715     0.030  |   0.00    0.00    0.00    0.00    0.01    0.14    1.43   22.69   75.69    0.03    0.00    0.00    0.00
  AGG   107,596,480,512     0.000    82.443     0.015  |   0.00    0.00    0.00    0.00    0.01    0.13    1.30   16.11   82.43    0.02    0.00    0.00    0.00

Probe: gelu_output (GELU output)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      4,483,186,688    14.836     1.600     0.000  |   0.00    5.88    7.15    8.98   11.42   14.49   20.32   15.33    1.60    0.00    0.00    0.00    0.00
  L1      4,483,186,688     7.171     0.397     0.002  |   0.00    4.85    6.93   10.05   14.72   19.48   24.10   12.29    0.39    0.00    0.00    0.00    0.00
  L2      4,483,186,688     1.784     0.346     0.000  |   0.00    2.28    4.53    8.78   15.94   24.39   29.36   12.59    0.35    0.00    0.00    0.00    0.00
  L3      4,483,186,688     0.336     0.383     0.000  |   0.00    0.72    2.15    5.90   14.31   28.35   35.75   12.11    0.38    0.00    0.00    0.00    0.00
  L4      4,483,186,688     0.223     0.157     0.010  |   0.00    0.55    1.78    4.98   12.65   26.28   38.05   15.33    0.15    0.01    0.00    0.00    0.00
  L5      4,483,186,688     0.439     0.286     0.000  |   0.00    0.97    2.65    6.70   15.18   27.83   33.05   12.90    0.29    0.00    0.00    0.00    0.00
  L6      4,483,186,688     1.017     0.236     0.000  |   0.00    1.97    4.64    9.84   18.87   28.59   26.54    8.29    0.24    0.00    0.00    0.00    0.00
  L7      4,483,186,688     0.295     0.242     0.000  |   0.00    0.46    1.75    5.83   16.86   33.86   32.54    8.16    0.24    0.00    0.00    0.00    0.00
  L8      4,483,186,688     0.137     0.360     0.000  |   0.00    0.12    0.33    1.44    7.31   30.90   47.29   12.12    0.36    0.00    0.00    0.00    0.00
  L9      4,483,186,688     0.136     0.137     0.000  |   0.00    0.19    0.54    1.93    8.16   27.21   43.70   18.01    0.14    0.00    0.00    0.00    0.00
  L10     4,483,186,688     0.131     0.276     0.000  |   0.00    0.13    0.31    0.94    3.64   15.50   49.15   29.93    0.28    0.00    0.00    0.00    0.00
  L11     4,483,186,688     0.122     0.381     0.000  |   0.00    0.14    0.34    0.99    3.60   14.07   46.69   33.66    0.38    0.00    0.00    0.00    0.00
  L12     4,483,186,688     0.175     0.325     0.000  |   0.00    0.19    0.46    1.38    4.80   16.74   46.94   28.98    0.32    0.00    0.00    0.00    0.00
  L13     4,483,186,688     0.245     0.351     0.000  |   0.00    0.23    0.53    1.47    4.74   15.90   46.35   30.18    0.35    0.00    0.00    0.00    0.00
  L14     4,483,186,688     0.261     0.298     0.000  |   0.00    0.32    0.79    2.22    6.68   19.10   44.59   25.74    0.30    0.00    0.00    0.00    0.00
  L15     4,483,186,688     0.264     0.526     0.000  |   0.00    0.33    0.85    2.35    6.79   18.55   43.13   27.22    0.53    0.00    0.00    0.00    0.00
  L16     4,483,186,688     0.203     0.526     0.000  |   0.00    0.18    0.51    1.57    5.14   16.29   44.92   30.66    0.53    0.00    0.00    0.00    0.00
  L17     4,483,186,688     0.080     0.631     0.003  |   0.00    0.05    0.18    0.68    2.78   11.31   44.54   39.75    0.63    0.00    0.00    0.00    0.00
  L18     4,483,186,688     0.074     0.679     0.003  |   0.00    0.04    0.12    0.45    2.05    9.63   44.07   42.89    0.68    0.00    0.00    0.00    0.00
  L19     4,483,186,688     0.252     0.477     0.002  |   0.00    0.18    0.30    0.65    2.02    9.09   43.94   43.10    0.47    0.00    0.00    0.00    0.00
  L20     4,483,186,688     0.056     0.523     0.000  |   0.00    0.06    0.09    0.26    1.03    6.15   41.18   50.65    0.52    0.00    0.00    0.00    0.00
  L21     4,483,186,688     0.028     0.539     0.001  |   0.00    0.00    0.02    0.11    0.72    5.87   42.85   49.86    0.54    0.00    0.00    0.00    0.00
  L22     4,483,186,688     0.031     0.895     0.000  |   0.00    0.01    0.02    0.12    0.83    5.65   40.96   51.48    0.89    0.00    0.00    0.00    0.00
  L23     4,483,186,688     0.134     0.330     0.000  |   0.00    0.10    0.18    0.49    1.63    8.69   46.66   41.79    0.33    0.00    0.00    0.00    0.00
  AGG   107,596,480,512     1.185     0.454     0.001  |   0.00    0.83    1.55    3.26    7.58   18.08   39.86   27.21    0.45    0.00    0.00    0.00    0.00

Probe: ffn2_output (FFN2 output)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      1,120,796,672     0.000    27.322     0.399  |   0.00    0.00    0.00    0.01    0.09    0.87    8.68   63.03   26.92    0.40    0.00    0.00    0.00
  L1      1,120,796,672     0.000     6.243     0.089  |   0.00    0.00    0.00    0.02    0.15    1.52   15.05   77.02    6.15    0.09    0.00    0.00    0.00
  L2      1,120,796,672     0.000     0.861     0.011  |   0.00    0.00    0.00    0.03    0.26    2.58   25.06   71.22    0.85    0.01    0.00    0.00    0.00
  L3      1,120,796,672     0.000     2.353     0.000  |   0.00    0.00    0.00    0.02    0.21    2.05   20.11   75.26    2.35    0.00    0.00    0.00    0.00
  L4      1,120,796,672     0.000     0.254     0.183  |   0.00    0.00    0.00    0.04    0.36    3.62   34.62   61.10    0.07    0.18    0.00    0.00    0.00
  L5      1,120,796,672     0.000     0.403     0.182  |   0.00    0.00    0.00    0.03    0.32    3.18   30.62   65.44    0.22    0.18    0.00    0.00    0.00
  L6      1,120,796,672     0.000     0.363     0.133  |   0.00    0.00    0.00    0.04    0.35    3.52   33.54   62.18    0.23    0.13    0.00    0.00    0.00
  L7      1,120,796,672     0.000     0.346     0.163  |   0.00    0.00    0.00    0.04    0.37    3.75   35.57   59.92    0.18    0.16    0.00    0.00    0.00
  L8      1,120,796,672     0.000     0.453     0.001  |   0.00    0.00    0.00    0.03    0.28    2.75   26.76   69.73    0.45    0.00    0.00    0.00    0.00
  L9      1,120,796,672     0.000     0.245     0.001  |   0.00    0.00    0.00    0.04    0.37    3.67   34.60   61.08    0.24    0.00    0.00    0.00    0.00
  L10     1,120,796,672     0.000     0.565     0.001  |   0.00    0.00    0.00    0.03    0.27    2.68   25.97   70.48    0.56    0.00    0.00    0.00    0.00
  L11     1,120,796,672     0.000     0.919     0.001  |   0.00    0.00    0.00    0.02    0.24    2.35   22.89   73.58    0.92    0.00    0.00    0.00    0.00
  L12     1,120,796,672     0.000     0.581     0.002  |   0.00    0.00    0.00    0.03    0.26    2.55   24.79   71.79    0.58    0.00    0.00    0.00    0.00
  L13     1,120,796,672     0.000     0.667     0.002  |   0.00    0.00    0.00    0.03    0.26    2.58   24.98   71.49    0.67    0.00    0.00    0.00    0.00
  L14     1,120,796,672     0.000     0.401     0.003  |   0.00    0.00    0.00    0.03    0.28    2.81   27.11   69.36    0.40    0.00    0.00    0.00    0.00
  L15     1,120,796,672     0.000     0.945     0.003  |   0.00    0.00    0.00    0.02    0.22    2.22   21.69   74.90    0.94    0.00    0.00    0.00    0.00
  L16     1,120,796,672     0.000     2.090     0.000  |   0.00    0.00    0.00    0.02    0.21    2.14   20.94   74.59    2.09    0.00    0.00    0.00    0.00
  L17     1,120,796,672     0.000     1.637     0.033  |   0.00    0.00    0.00    0.02    0.19    1.94   19.08   77.13    1.60    0.03    0.01    0.00    0.00
  L18     1,120,796,672     0.000     2.236     0.020  |   0.00    0.00    0.00    0.02    0.19    1.88   18.56   77.11    2.22    0.01    0.01    0.00    0.00
  L19     1,120,796,672     0.000     0.776     0.016  |   0.00    0.00    0.00    0.02    0.22    2.18   21.40   75.40    0.76    0.01    0.00    0.00    0.00
  L20     1,120,796,672     0.000     3.371     0.022  |   0.00    0.00    0.00    0.02    0.23    2.30   22.48   71.59    3.35    0.02    0.00    0.00    0.00
  L21     1,120,796,672     0.000     1.275     0.021  |   0.00    0.00    0.00    0.02    0.24    2.36   23.03   73.07    1.25    0.01    0.01    0.00    0.00
  L22     1,120,796,672     0.000     2.163     0.046  |   0.00    0.00    0.00    0.02    0.24    2.37   23.26   71.94    2.12    0.03    0.01    0.00    0.00
  L23     1,120,796,672     0.000     2.503     0.000  |   0.00    0.00    0.00    0.02    0.21    2.14   20.70   74.42    2.50    0.00    0.00    0.00    0.00
  AGG   26,899,120,128     0.000     2.457     0.055  |   0.00    0.00    0.00    0.03    0.25    2.50   24.23   70.53    2.40    0.05    0.00    0.00    0.00

Probe: post_ffn_ln (Post-FFN sub-block)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      1,120,796,672     0.000    10.567     0.004  |   0.00    0.00    0.00    0.01    0.13    1.33   13.04   74.92   10.56    0.00    0.00    0.00    0.00
  L1      1,120,796,672     0.000     4.107     0.088  |   0.00    0.00    0.00    0.02    0.17    1.72   16.94   77.04    4.02    0.09    0.00    0.00    0.00
  L2      1,120,796,672     0.000     1.284     0.095  |   0.00    0.00    0.00    0.02    0.22    2.19   21.50   74.78    1.19    0.10    0.00    0.00    0.00
  L3      1,120,796,672     0.000     1.266     0.012  |   0.00    0.00    0.00    0.02    0.21    2.12   20.85   75.52    1.25    0.01    0.00    0.00    0.00
  L4      1,120,796,672     0.000     0.762     0.000  |   0.00    0.00    0.00    0.03    0.32    3.24   31.09   64.55    0.76    0.00    0.00    0.00    0.00
  L5      1,120,796,672     0.000     0.950     0.000  |   0.00    0.00    0.00    0.05    0.46    4.58   41.70   52.26    0.95    0.00    0.00    0.00    0.00
  L6      1,120,796,672     0.000     0.986     0.001  |   0.00    0.00    0.01    0.06    0.57    5.68   49.63   43.07    0.98    0.00    0.00    0.00    0.00
  L7      1,120,796,672     0.000     0.815     0.093  |   0.00    0.00    0.00    0.05    0.45    4.53   41.60   52.55    0.72    0.09    0.00    0.00    0.00
  L8      1,120,796,672     0.000     0.899     0.096  |   0.00    0.00    0.00    0.03    0.34    3.39   32.32   63.01    0.80    0.10    0.00    0.00    0.00
  L9      1,120,796,672     0.000     0.775     0.097  |   0.00    0.00    0.00    0.03    0.31    3.07   29.50   66.31    0.68    0.10    0.00    0.00    0.00
  L10     1,120,796,672     0.000     1.357     0.097  |   0.00    0.00    0.00    0.02    0.22    2.22   21.33   74.85    1.26    0.10    0.00    0.00    0.00
  L11     1,120,796,672     0.000     2.166     0.097  |   0.00    0.00    0.00    0.02    0.20    1.96   18.73   76.93    2.07    0.10    0.00    0.00    0.00
  L12     1,120,796,672     0.000     3.162     0.097  |   0.00    0.00    0.00    0.02    0.18    1.78   17.23   77.62    3.06    0.10    0.00    0.00    0.00
  L13     1,120,796,672     0.000     5.372     0.091  |   0.00    0.00    0.00    0.02    0.16    1.62   15.17   77.66    5.28    0.09    0.00    0.00    0.00
  L14     1,120,796,672     0.000     7.882     0.013  |   0.00    0.00    0.00    0.01    0.15    1.46   13.82   76.68    7.87    0.01    0.00    0.00    0.00
  L15     1,120,796,672     0.000     9.831     0.065  |   0.00    0.00    0.00    0.01    0.14    1.36   13.06   75.60    9.77    0.07    0.00    0.00    0.00
  L16     1,120,796,672     0.000    10.199     0.036  |   0.00    0.00    0.00    0.01    0.13    1.31   12.89   75.46   10.16    0.04    0.00    0.00    0.00
  L17     1,120,796,672     0.000    12.071     0.002  |   0.00    0.00    0.00    0.02    0.15    1.53   14.09   72.14   12.07    0.00    0.00    0.00    0.00
  L18     1,120,796,672     0.000    14.118     0.000  |   0.00    0.00    0.00    0.02    0.18    1.78   13.92   69.98   14.12    0.00    0.00    0.00    0.00
