episode,rolling60_mean,rolling60_min,rolling60_max,rolling300_mean,rolling300_min,rolling300_max,rolling1000_mean,rolling1000_min,rolling1000_max
138,37.79712818,37.53202172,38.12025701,,,,,,
139,37.80071315,37.53202172,38.12025701,,,,,,
140,37.79611887,37.53202172,38.12025701,,,,,,
141,37.79604091,37.53202172,38.12025701,,,,,,
142,37.79685791,37.53202172,38.12025701,,,,,,
143,37.80012588,37.53202172,38.12025701,,,,,,
144,37.80661335,37.53202172,38.12025701,,,,,,
145,37.80906433,37.53202172,38.12025701,,,,,,
146,37.79926041,37.53202172,38.12025701,,,,,,
147,37.79599244,37.53202172,38.07123740,,,,,,
148,37.79835791,37.53202172,38.07123740,,,,,,
149,37.79917490,37.53202172,38.07123740,,,,,,
150,37.79427294,37.53202172,38.05277645,,,,,,
151,37.79294663,37.53202172,38.05277645,,,,,,
152,37.78886167,37.48300211,38.05277645,,,,,,
153,37.79099565,37.48300211,38.05277645,,,,,,
154,37.79499425,37.48300211,38.05277645,,,,,,
155,37.79736826,37.48300211,38.05277645,,,,,,
156,37.79410028,37.48300211,38.05277645,,,,,,
157,37.79246629,37.48300211,38.05277645,,,,,,
158,37.79246629,37.48300211,38.05277645,,,,,,
159,37.79491727,37.48300211,38.07123740,,,,,,
160,37.79981924,37.48300211,38.07123740,,,,,,
161,37.79573427,37.48300211,38.07123740,,,,,,
162,37.79818525,37.48300211,38.07123740,,,,,,
163,37.80393503,37.48300211,38.10356298,,,,,,
164,37.80833699,37.48300211,38.10356298,,,,,,
165,37.80915398,37.48300211,38.10356298,,,,,,
166,37.81169007,37.48300211,38.10356298,,,,,,
167,37.80880608,37.48300211,38.10356298,,,,,,
168,37.81200706,37.48300211,38.10356298,,,,,,
169,37.81289105,37.48300211,38.10356298,,,,,,
170,37.81534203,37.48300211,38.10356298,,,,,,
171,37.81747602,37.48300211,38.10356298,,,,,,
172,37.81822602,37.48300211,38.10356298,,,,,,
173,37.82067700,37.48300211,38.10356298,,,,,,
174,37.81904301,37.48300211,38.10356298,,,,,,
175,37.82559834,37.48300211,38.10356298,,,,,,
176,37.82482982,37.48300211,38.10356298,,,,,,
177,37.82023554,37.48300211,38.10356298,,,,,,
178,37.82505199,37.48300211,38.10356298,,,,,,
179,37.82593598,37.48300211,38.10356298,,,,,,
180,37.82437896,37.48300211,38.10356298,,,,,,
181,37.82192798,37.48300211,38.10356298,,,,,,
182,37.82356991,37.48300211,38.10356298,,,,,,
183,37.82356991,37.48300211,38.10356298,,,,,,
184,37.81867793,37.48300211,38.10356298,,,,,,
185,37.82194590,37.48300211,38.10356298,,,,,,
186,37.82031191,37.48300211,38.10356298,,,,,,
187,37.81867793,37.48300211,38.10356298,,,,,,
188,37.81373893,37.48300211,38.10356298,,,,,,
189,37.82027488,37.48300211,38.10356298,,,,,,
190,37.81864089,37.48300211,38.10356298,,,,,,
191,37.81872600,37.48300211,38.10356298,,,,,,
192,37.82035999,37.48300211,38.10356298,,,,,,
193,37.82231097,37.48300211,38.10356298,,,,,,
194,37.82304159,37.48300211,38.10356298,,,,,,
195,37.82140760,37.48300211,38.10356298,,,,,,
196,37.82222459,37.48300211,38.10356298,,,,,,
197,37.81977361,37.48300211,38.10356298,,,,,,
198,37.81977361,37.48300211,38.10356298,,,,,,
199,37.81813963,37.48300211,38.10356298,,,,,,
200,37.82304159,37.48300211,38.10356298,,,,,,
201,37.82549257,37.48300211,38.10356298,,,,,,
202,37.82876054,37.48300211,38.10356298,,,,,,
203,37.82794355,37.48300211,38.10356298,,,,,,
204,37.82712655,37.48300211,38.10356298,,,,,,
205,37.82712655,37.48300211,38.10356298,,,,,,
206,37.83202851,37.48300211,38.10356298,,,,,,
207,37.83121152,37.48300211,38.10356298,,,,,,
208,37.83284551,37.48300211,38.10356298,,,,,,
209,37.83123004,37.48300211,38.10356298,,,,,,
210,37.83286403,37.48300211,38.10356298,,,,,,
211,37.83041305,37.48300211,38.10356298,,,,,,
212,37.83531501,37.58104132,38.10356298,,,,,,
213,37.83236403,37.58104132,38.10356298,,,,,,
214,37.82909605,37.58104132,38.10356298,,,,,,
215,37.83073004,37.58104132,38.10356298,,,,,,
216,37.83481501,37.58164013,38.10356298,,,,,,
217,37.83406501,37.58164013,38.10356298,,,,,,
218,37.83651599,37.58164013,38.10356298,,,,,,
219,37.83161403,37.58164013,38.10356298,,,,,,
220,37.83324801,37.58164013,38.10356298,,,,,,
221,37.83322950,37.58164013,38.10356298,,,,,,
222,37.83241250,37.58164013,38.10356298,,,,,,
223,37.82533779,37.58164013,38.02221779,,,,,,
224,37.82615479,37.58164013,38.02221779,,,,,,
225,37.82615479,37.58164013,38.02221779,,,,,,
226,37.82443569,37.58164013,38.02221779,,,,,,
227,37.82436870,37.58164013,38.02221779,,,,,,
228,37.82191772,37.58104132,38.02221779,,,,,,
229,37.82021674,37.58104132,38.02221779,,,,,,
230,37.81212378,37.38958130,38.02221779,,,,,,
231,37.81088376,37.38958130,38.02221779,,,,,,
232,37.81251774,37.38958130,38.02221779,,,,,,
233,37.81259472,37.38958130,38.02221779,,,,,,
234,37.81186283,37.38958130,38.02221779,,,,,,
235,37.80857548,37.38958130,38.02221779,,,,,,
236,37.80859400,37.38958130,38.02221779,,,,,,
237,37.80419997,37.38958130,38.02221779,,,,,,
238,37.79774954,37.38958130,38.02221779,,,,,,
239,37.79931653,37.38958130,38.02221779,,,,,,
240,37.79685557,37.38958130,38.02221779,,,,,,
241,37.79529954,37.38958130,38.02221779,,,,,,
242,37.78907265,37.38958130,38.02221779,,,,,,
243,37.78662167,37.38958130,38.02221779,,,,,,
244,37.78987966,37.38958130,38.02221779,,,,,,
245,37.79578393,37.38958130,38.18039513,,,,,,
246,37.79660886,37.38958130,38.18039513,,,,,,
247,37.79824284,37.38958130,38.18039513,,,,,,
248,37.80391332,37.38958130,38.18039513,,,,,,
249,37.80146234,37.38958130,38.18039513,,,,,,
250,37.79901136,37.38958130,38.18039513,,,,,,
251,37.79647527,37.38958130,38.18039513,,,,,,
252,37.79492415,37.38958130,38.18039513,,,,,,
253,37.79582666,37.38958130,38.18039513,,,,,,
254,37.79010770,37.38958130,38.18039513,,,,,,
255,37.79010770,37.38958130,38.18039513,,,,,,
256,37.78847372,37.38958130,38.18039513,,,,,,
257,37.79337568,37.38958130,38.18039513,,,,,,
258,37.79582666,37.38958130,38.18039513,,,,,,
259,37.79664365,37.38958130,38.18039513,,,,,,
260,37.79255868,37.38958130,38.18039513,,,,,,
261,37.79345198,37.38958130,38.18039513,,,,,,
262,37.79153059,37.38958130,38.18039513,,,,,,
263,37.78916472,37.38958130,38.18039513,,,,,,
264,37.78598226,37.38958130,38.18039513,,,,,,
265,37.78686624,37.38958130,38.18039513,,,,,,
266,37.79102818,37.38958130,38.18039513,,,,,,
267,37.79102818,37.38958130,38.18039513,,,,,,
268,37.79029670,37.38958130,38.18039513,,,,,,
269,37.79109518,37.38958130,38.18039513,,,,,,
270,37.78455923,37.38958130,38.18039513,,,,,,
271,37.78505923,37.38958130,38.18039513,,,,,,
272,37.78424224,37.38958130,38.18039513,,,,,,
273,37.78342524,37.38958130,38.18039513,,,,,,
274,37.78669322,37.38958130,38.18039513,,,,,,
275,37.78587622,37.38958130,38.18039513,,,,,,
276,37.78424224,37.38958130,38.18039513,,,,,,
277,37.78826021,37.38958130,38.18039513,,,,,,
278,37.78662622,37.38958130,38.18039513,,,,,,
279,37.78507019,37.38958130,38.18039513,,,,,,
280,37.78098523,37.38958130,38.18039513,,,,,,
281,37.78508871,37.38958130,38.18039513,,,,,,
282,37.78925919,37.38958130,38.18039513,,,,,,
283,37.79089318,37.38958130,38.18039513,,,,,,
284,37.78852016,37.38958130,38.18039513,,,,,,
285,37.78286820,37.38958130,38.18039513,,,,,,
286,37.77960022,37.38958130,38.18039513,,,,,,
287,37.77878323,37.38958130,38.18039513,,,,,,
288,37.78132970,37.38958130,38.18039513,,,,,,
289,37.78623166,37.38958130,38.18039513,,,,,,
290,37.79187364,37.48300211,38.18039513,,,,,,
291,37.79261366,37.48300211,38.18039513,,,,,,
292,37.79097968,37.48300211,38.18039513,,,,,,
293,37.78436675,37.48300211,38.18039513,,,,,,
294,37.78272540,37.48300211,38.18039513,,,,,,
295,37.78195602,37.48300211,38.18039513,,,,,,
296,37.78115000,37.48300211,38.18039513,,,,,,
297,37.78725597,37.48300211,38.18039513,,,,,,
298,37.79288941,37.48300211,38.18039513,,,,,,
299,37.78888141,37.48300211,38.18039513,37.79974708,37.38958130,38.18039513,,,
300,37.78799743,37.48300211,38.18039513,37.79939708,37.38958130,38.18039513,,,
301,37.78873646,37.48300211,38.18039513,37.79923368,37.38958130,38.18039513,,,
302,37.79445542,37.48300211,38.18039513,37.80021407,37.38958130,38.18039513,,,
303,37.79577241,37.48300211,38.18039513,37.80015067,37.38958130,38.18039513,,,
304,37.79747339,37.48300211,38.18039513,37.80081766,37.38958130,38.18039513,,,
305,37.79156913,37.48300211,38.12538773,37.80081766,37.38958130,38.18039513,,,
306,37.79482916,37.48300211,38.12538773,37.80147126,37.38958130,38.18039513,,,
307,37.79564616,37.48300211,38.12538773,37.80261505,37.38958130,38.18039513,,,
308,37.78992720,37.48300211,38.12538773,37.80196145,37.38958130,38.18039513,,,
309,37.78993718,37.48300211,38.12538773,37.80130986,37.38958130,38.18039513,,,
310,37.78748620,37.48300211,38.12538773,37.80081966,37.38958130,38.18039513,,,
311,37.79083929,37.48300211,38.12538773,37.80067328,37.38958130,38.18039513,,,
312,37.78920795,37.48300211,38.12538773,37.79954659,37.38958130,38.18039513,,,
313,37.78830544,37.48300211,38.12538773,37.79970999,37.38958130,38.18039513,,,
314,37.79157341,37.48300211,38.12538773,37.79987339,37.38958130,38.18039513,,,
315,37.79402439,37.48300211,38.12538773,37.80020019,37.38958130,38.18039513,,,
316,37.79239041,37.48300211,38.12538773,37.79970999,37.38958130,38.18039513,,,
317,37.78830544,37.48300211,38.12538773,37.80003679,37.38958130,38.18039513,,,
318,37.78013551,37.48300211,38.12538773,37.80020019,37.38958130,38.18039513,,,
319,37.77605054,37.48300211,38.12538773,37.80003679,37.38958130,38.18039513,,,
320,37.77694549,37.48300211,38.12538773,37.79939879,37.38958130,38.18039513,,,
321,37.78013716,37.48300211,38.12538773,37.80021578,37.38958130,38.18039513,,,
322,37.77642597,37.48300211,38.12538773,37.80023306,37.38958130,38.18039513,,,
323,37.77716579,37.48300211,38.12538773,37.80121504,37.38958130,38.18039513,,,
324,37.77799461,37.48300211,38.12538773,37.80074431,37.38958130,38.18039513,,,
325,37.77629363,37.48300211,38.12538773,37.80123450,37.38958130,38.18039513,,,
326,37.77294868,37.48300211,38.12538773,37.80107110,37.38958130,38.18039513,,,
327,37.76973917,37.48300211,38.12538773,37.80010240,37.38958130,38.18039513,,,
328,37.76475169,37.48300211,38.12538773,37.79912201,37.38958130,38.18039513,,,
329,37.76393470,37.48300211,38.12538773,37.79797822,37.38958130,38.18039513,,,
330,37.77128764,37.48702172,38.12538773,37.79846842,37.38958130,38.18039513,,,
331,37.77323862,37.48702172,38.12538773,37.79863181,37.38958130,38.18039513,,,
332,37.77405561,37.48702172,38.12538773,37.79830502,37.38958130,38.18039513,,,
333,37.77577511,37.48702172,38.12538773,37.79766853,37.38958130,38.18039513,,,
334,37.77339113,37.48702172,38.12538773,37.79719173,37.38958130,38.18039513,,,
335,37.77502511,37.48702172,38.12538773,37.79784532,37.38958130,38.18039513,,,
336,37.77999407,37.48702172,38.12538773,37.79851232,37.38958130,38.18039513,,,
337,37.77681161,37.48702172,38.12538773,37.79869282,37.38958130,38.18039513,,,
338,37.77687105,37.48702172,38.12538773,37.79984850,37.38958130,38.18039513,,,
339,37.77850338,37.48702172,38.12538773,37.79986376,37.38958130,38.18039513,,,
340,37.78095436,37.48702172,38.12538773,37.79970036,37.38958130,38.18039513,,,
341,37.77982037,37.48702172,38.12538773,37.79947356,37.38958130,38.18039513,,,
342,37.77319891,37.48702172,38.02623740,37.79849317,37.38958130,38.18039513,,,
343,37.77828529,37.48702172,38.08230215,37.79951044,37.38958130,38.18039513,,,
344,37.77825580,37.48702172,38.08230215,37.80001033,37.38958130,38.18039513,,,
345,37.77747757,37.44032769,38.08230215,37.79888769,37.38958130,38.18039513,,,
346,37.77667154,37.44032769,38.08230215,37.79790949,37.38958130,38.18039513,,,
347,37.77674851,37.44032769,38.08230215,37.79743469,37.38958130,38.18039513,,,
348,37.78237198,37.44032769,38.08230215,37.79825169,37.38958130,38.18039513,,,
349,37.78155498,37.44032769,38.08230215,37.79874188,37.38958130,38.18039513,,,
350,37.78081429,37.44032769,38.08230215,37.79859375,37.38958130,38.18039513,,,
351,37.77999730,37.44032769,38.08230215,37.79777675,37.38958130,38.18039513,,,
352,37.78081429,37.44032769,38.08230215,37.79794015,37.38958130,38.18039513,,,
353,37.78006429,37.44032769,38.08230215,37.79779015,37.38958130,38.18039513,,,
354,37.78407151,37.44032769,38.08230215,37.79877054,37.38958130,38.18039513,,,
355,37.78571733,37.44032769,38.08230215,37.79910923,37.38958130,38.18039513,,,
356,37.78809035,37.44032769,38.08230215,37.79910923,37.38958130,38.18039513,,,
357,37.78719540,37.44032769,38.08230215,37.79894583,37.38958130,38.18039513,,,
358,37.78229344,37.44032769,38.08230215,37.79829223,37.38958130,38.18039513,,,
359,37.78391744,37.44032769,38.08230215,37.79830563,37.38958130,38.18039513,,,
360,37.77990945,37.44032769,38.08230215,37.79701384,37.38958130,38.18039513,,,
361,37.78244680,37.44032769,38.08230215,37.79784811,37.38958130,38.18039513,,,
362,37.78489778,37.44032769,38.08230215,37.79840170,37.38958130,38.18039513,,,
363,37.78276380,37.44032769,38.08230215,37.79807490,37.38958130,38.18039513,,,
364,37.78277476,37.44032769,38.08230215,37.79841729,37.38958130,38.18039513,,,
365,37.78604274,37.44032769,38.08230215,37.79956108,37.38958130,38.18039513,,,
366,37.78359176,37.44032769,38.08230215,37.79923429,37.38958130,38.18039513,,,
367,37.77877617,37.44032769,38.08230215,37.79758784,37.38958130,38.18039513,,,
368,37.77722769,37.44032769,38.08230215,37.79629775,37.38958130,38.18039513,,,
369,37.77394974,37.44032769,38.08230215,37.79570536,37.38958130,38.18039513,,,
370,37.78048569,37.44032769,38.08230215,37.79707395,37.38958130,38.18039513,,,
371,37.77713260,37.44032769,38.08230215,37.79674715,37.38958130,38.18039513,,,
372,37.78202701,37.44032769,38.08230215,37.79640249,37.38958130,38.18039513,,,
373,37.77882603,37.44032769,38.08230215,37.79576229,37.38958130,38.18039513,,,
374,37.78047854,37.44032769,38.08230215,37.79484900,37.38958130,38.18039513,,,
375,37.77802756,37.44032769,38.08230215,37.79484900,37.38958130,38.18039513,,,
376,37.77639357,37.44032769,38.08230215,37.79468560,37.38958130,38.18039513,,,
377,37.78127701,37.44032769,38.08230215,37.79515499,37.38958130,38.18039513,,,
378,37.78787995,37.44032769,38.08230215,37.79614878,37.38958130,38.18039513,,,
379,37.79196492,37.44032769,38.08230215,37.79670238,37.38958130,38.18039513,,,
380,37.79188696,37.44032769,38.08230215,37.79611032,37.38958130,38.18039513,,,
381,37.78698500,37.44032769,38.08230215,37.79642152,37.38958130,38.18039513,,,
382,37.79180059,37.44032769,38.08230215,37.79707512,37.38958130,38.18039513,,,
383,37.79506062,37.44032769,38.08230215,37.79789211,37.38958130,38.18039513,,,
384,37.79169531,37.44032769,38.08230215,37.79788242,37.38958130,38.18039513,,,
385,37.79094531,37.44032769,38.08230215,37.79805921,37.38958130,38.18039513,,,
386,37.78531187,37.44032769,38.08230215,37.79611553,37.38958130,38.18039513,,,
387,37.78857984,37.44032769,38.08230215,37.79531023,37.38958130,38.18039513,,,
388,37.79519277,37.44032769,38.08230215,37.79628891,37.38958130,38.18039513,,,
