index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
0, NVIDIA GeForce RTX 5090, 2 MiB, 32607 MiB, 0 %
1, NVIDIA GeForce RTX 5090, 2 MiB, 32607 MiB, 0 %
