timestamp,gpu_idx,util_pct,mem_used_mib
2026/05/20 04:11:40.393, 0, 1, 2
2026/05/20 04:11:40.396, 1, 0, 2
2026/05/20 04:11:55.464, 0, 0, 980
2026/05/20 04:11:55.466, 1, 0, 4
2026/05/20 04:12:10.560, 0, 98, 3436
2026/05/20 04:12:10.566, 1, 98, 3732
2026/05/20 04:12:25.648, 0, 98, 3436
2026/05/20 04:12:25.650, 1, 98, 3732
2026/05/20 04:12:40.734, 0, 97, 3436
2026/05/20 04:12:40.738, 1, 98, 3732
2026/05/20 04:12:55.808, 0, 95, 3436
2026/05/20 04:12:55.812, 1, 99, 3732
2026/05/20 04:13:10.876, 0, 98, 3436
2026/05/20 04:13:10.881, 1, 0, 3732
2026/05/20 04:13:25.948, 0, 77, 3436
2026/05/20 04:13:25.952, 1, 97, 3732
2026/05/20 04:13:41.039, 0, 98, 3436
2026/05/20 04:13:41.044, 1, 0, 3732
2026/05/20 04:13:56.123, 0, 98, 3438
2026/05/20 04:13:56.126, 1, 0, 3732
2026/05/20 04:14:11.222, 0, 98, 3448
2026/05/20 04:14:11.225, 1, 0, 3732
2026/05/20 04:14:26.306, 0, 98, 3448
2026/05/20 04:14:26.311, 1, 0, 3732
2026/05/20 04:14:41.378, 0, 98, 3448
2026/05/20 04:14:41.384, 1, 98, 3732
2026/05/20 04:14:56.486, 0, 98, 3448
2026/05/20 04:14:56.492, 1, 98, 3732
2026/05/20 04:15:11.583, 0, 98, 3448
2026/05/20 04:15:11.587, 1, 0, 3732
2026/05/20 04:15:26.671, 0, 98, 3448
2026/05/20 04:15:26.676, 1, 96, 3732
2026/05/20 04:15:41.758, 0, 3, 3448
2026/05/20 04:15:41.764, 1, 98, 3732
2026/05/20 04:15:56.850, 0, 98, 3450
2026/05/20 04:15:56.854, 1, 0, 3732
2026/05/20 04:16:11.938, 0, 98, 3450
2026/05/20 04:16:11.944, 1, 49, 3732
2026/05/20 04:16:27.032, 0, 98, 3450
2026/05/20 04:16:27.038, 1, 98, 3732
2026/05/20 04:16:42.120, 0, 98, 3450
2026/05/20 04:16:42.125, 1, 62, 3732
2026/05/20 04:16:57.205, 0, 98, 3450
2026/05/20 04:16:57.210, 1, 0, 3732
2026/05/20 04:17:12.281, 0, 98, 3450
2026/05/20 04:17:12.286, 1, 98, 3732
2026/05/20 04:17:27.374, 0, 98, 3450
2026/05/20 04:17:27.379, 1, 96, 3732
2026/05/20 04:17:42.439, 0, 98, 3450
2026/05/20 04:17:42.444, 1, 46, 3732
2026/05/20 04:17:57.534, 0, 98, 3450
2026/05/20 04:17:57.540, 1, 97, 3732
2026/05/20 04:18:12.601, 0, 0, 3450
2026/05/20 04:18:12.604, 1, 0, 3732
2026/05/20 04:18:27.669, 0, 98, 3450
2026/05/20 04:18:27.673, 1, 0, 3732
2026/05/20 04:18:42.744, 0, 98, 3450
