index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
0, NVIDIA GeForce RTX 4090, 1 MiB, 49140 MiB, 0 %
1, NVIDIA GeForce RTX 4090, 1 MiB, 49140 MiB, 0 %
2, NVIDIA GeForce RTX 4090, 1 MiB, 49140 MiB, 0 %
3, NVIDIA GeForce RTX 4090, 1 MiB, 49140 MiB, 0 %
