episode,total_reward,terminal_reward,terminal_priority,terminal_loss_mean,terminal_loss_std,terminal_metric1_mean,terminal_metric2_mean,terminal_metric1_std,terminal_metric2_std,terminal_stab_excess_m1,terminal_stab_excess_m2,terminal_stab_excess_loss,terminal_stab_violation,valid_steps,invalid_steps,total_bits,safe_neighbor_active,safe_neighbor_mutation_count,safe_neighbor_radius,exploration_mode,guarded_radius2_active,guarded_radius2_recent_frontier_expansions,guarded_radius2_recent_duplicate_rate,guarded_radius2_recent_dominated_rate,guarded_radius2_cooldown_remaining,guarded_radius2_safe_offset_count,samples_rejected_by_mask,samples_rejected_by_optimizer,steps_fallen_back_to_baseline,forbidden_mask_total,static_invalid_level_disabled,static_invalid_level_applied,static_invalid_level_scan_evaluated,static_invalid_level_scan_invalid,empirical_invalid_level_disabled,empirical_invalid_level_applied,rejection_optimizer_wall_seconds,baseline_prior_scale,base_action_source,proposal_direction,empirical_offset_success_rate,empirical_offset_failure_rate,frontier_seed_episode
44,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
45,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
46,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
47,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
48,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
49,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
50,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
51,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
52,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
53,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
54,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
55,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
56,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
57,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
58,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
59,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
60,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,True,1,1,radius1|cached_reward_hit|validation_required,False,1,0.9666666666666667,0.0,0,0,0,0,0,0,56,0,2699,56,0,0,0.0,1.0,baseline,empirical_bidirectional_radius1,0.0,0.0,-1
61,37.033441792257456,40.00511288763358,3,0.347544401884079,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14777,True,1,1,radius1|validation_required,False,1,0.9666666666666667,0.0,0,0,0,0,0,0,56,0,2699,56,0,0,0.0,0.9989814814814815,baseline,empirical_bidirectional_radius1,0.0,0.0,-1
62,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,True,1,1,radius1|cached_reward_hit|validation_required,False,1,0.9666666666666667,0.0,0,0,0,0,0,0,56,0,2699,56,0,0,0.0,0.9979629629629629,baseline,empirical_bidirectional_radius1,0.0,0.0,-1
63,37.19718479021243,40.16996699669967,3,0.3365461230278015,0.0,0.8671875,0.8671875,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,True,1,1,radius1|validation_required,False,1,0.9666666666666667,0.0,0,0,0,0,0,0,56,0,2699,56,0,0,0.0,0.9969444444444444,baseline,empirical_bidirectional_radius1,0.0,0.0,-1
64,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,True,1,1,radius1|cached_reward_hit|validation_required,False,2,0.9375,0.0,0,0,0,0,0,0,56,0,2699,56,0,0,0.0,0.9959259259259259,baseline,empirical_bidirectional_radius1,0.0,0.0,-1
65,-3.2935721144253978,-0.3201320132013196,1,0.3444064259529114,0.0,0.859375,0.859375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14781,True,1,1,radius1,False,2,0.9375,0.0,0,0,0,0,0,0,56,0,2699,56,0,0,0.0,0.9949074074074074,frontier,empirical_bidirectional_radius1,0.0,0.0,0
66,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,True,1,1,radius1|cached_reward_hit|validation_required,False,2,0.9375,0.0,0,0,0,0,0,0,56,0,2699,56,0,0,0.0,0.9938888888888889,baseline,empirical_bidirectional_radius1,0.0,0.0,-1
67,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,True,1,1,radius1|cached_reward_hit|validation_required,False,2,0.9375,0.0,0,0,0,0,0,0,56,0,2699,56,0,0,0.0,0.9928703703703704,baseline,empirical_bidirectional_radius1,0.0,0.0,-1
68,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,True,1,1,radius1|cached_reward_hit|validation_required,False,2,0.9264705882352942,0.0,0,0,0,0,0,0,56,1,2699,56,0,0,0.0,0.9918518518518519,baseline,empirical_bidirectional_radius1,0.0,0.0,-1
69,37.52803808083368,40.50016239258407,3,0.34197330474853516,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14777,True,1,1,radius1|validation_required,False,2,0.9264705882352942,0.0,0,0,0,0,0,0,56,0,2699,56,0,0,0.0,0.9908333333333333,baseline,empirical_bidirectional_radius1,0.0,0.0,-1
70,37.3622012918626,40.334983498349835,3,0.33841878175735474,0.0,0.87109375,0.87109375,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,True,1,1,radius1|cached_reward_hit|validation_required,False,2,0.9264705882352942,0.0,0,0,0,0,0,0,56,0,2699,56,0,0,0.0,0.9898148148148148,baseline,empirical_bidirectional_radius1,0.0,0.0,-1
