model,scope,category,n_total,pct_zero,n_abs_gt_1,pct_abs_gt_1,n_abs_gt_10,pct_abs_gt_10,min,max,maxabs,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]"
GPT2-Large,ALL,Attn/O/bias,46080,0.0,8,0.017361111111111112,0,0.0,-1.2844699621200562,2.3033270835876465,2.3033270835876465,0.0,0.002170138888888889,0.015190972222222222,0.16710069444444445,1.7903645833333333,17.03125,77.63020833333333,3.3463541666666665,0.017361111111111112,0.0
GPT2-Large,ALL,Attn/O/weight,58982400,0.0,739,0.0012529161241319445,0,0.0,-4.058548450469971,4.133835792541504,4.133835792541504,0.0001949734157986111,0.001654730902777778,0.017077975802951388,0.16998799641927084,1.7056138780381944,16.825458102756077,77.73124186197916,3.547517564561632,0.0012529161241319445,0.0
GPT2-Large,ALL,Attn/QKV/bias,138240,0.0,22,0.015914351851851853,0,0.0,-1.3554770946502686,1.4927576780319214,1.4927576780319214,0.0,0.0,0.015914351851851853,0.18229166666666666,1.77734375,17.375578703703702,68.32320601851852,12.309751157407407,0.015914351851851853,0.0
GPT2-Large,ALL,Attn/QKV/weight,176947200,0.0,0,0.0,0,0.0,-0.5011767148971558,0.48215633630752563,0.5011767148971558,0.00016615125868055553,0.0015880443431712963,0.015859533239293983,0.15819577817563657,1.5848140010127316,15.6363446270978,77.16871869122541,5.43431317364728,0.0,0.0
GPT2-Large,ALL,Classifier/weight,2560,0.0,0,0.0,0,0.0,-0.06609372794628143,0.07022640854120255,0.07022640854120255,0.0,0.0,0.0390625,0.234375,3.7890624999999996,35.1953125,60.7421875,0.0,0.0,0.0
GPT2-Large,ALL,Embeddings/wpe/weight,1310720,0.0,6,0.000457763671875,0,0.0,-0.911656379699707,1.644490361213684,1.644490361213684,0.0016021728515625,0.0182342529296875,0.15899658203125,1.6344451904296877,16.1474609375,70.40237426757812,9.71282958984375,1.9235992431640627,0.000457763671875,0.0
GPT2-Large,ALL,Embeddings/wte/weight,64328960,0.0,0,0.0,0,0.0,-0.5182147026062012,0.4273260533809662,0.5182147026062012,0.00015545098195276282,0.0013322149153351772,0.013287949937322165,0.13258103348787234,1.3223904132757627,13.153854811270072,76.95624645571762,8.420151670414072,0.0,0.0
GPT2-Large,ALL,FFN/Intermediate/bias,184320,0.0,0,0.0,0,0.0,-0.4995690882205963,0.36753830313682556,0.4995690882205963,0.0,0.0016276041666666667,0.009765625,0.10904947916666667,1.0704210069444444,11.34765625,86.62868923611111,0.8327907986111112,0.0,0.0
GPT2-Large,ALL,FFN/Intermediate/weight,235929600,0.0,2,8.477105034722222e-07,0,0.0,-1.3754206895828247,1.4513037204742432,1.4513037204742432,0.00016996595594618056,0.0015619066026475693,0.015222761366102431,0.15198304918077257,1.5212686326768663,15.086446550157333,79.38234625922308,3.841000027126736,8.477105034722222e-07,0.0
GPT2-Large,ALL,FFN/Output/bias,46080,0.0,6,0.013020833333333334,0,0.0,-1.1751384735107422,1.6879887580871582,1.6879887580871582,0.0,0.0,0.017361111111111112,0.13237847222222224,1.351996527777778,13.691406249999998,79.47699652777777,5.316840277777778,0.013020833333333334,0.0
GPT2-Large,ALL,FFN/Output/weight,235929600,0.0,1204,0.0005103217230902778,0,0.0,-4.932979106903076,4.486159324645996,4.932979106903076,0.00016742282443576388,0.001568264431423611,0.015659756130642362,0.15768898857964408,1.5775142245822482,15.604129367404514,77.81541485256619,4.8273468017578125,0.0005103217230902778,0.0
GPT2-Large,ALL,LayerNorm/ln_1/bias,46080,0.0,0,0.0,0,0.0,-0.49403709173202515,0.871731162071228,0.871731162071228,0.0,0.002170138888888889,0.015190972222222222,0.14756944444444445,1.6319444444444446,17.44357638888889,77.11588541666666,3.643663194444444,0.0,0.0
GPT2-Large,ALL,LayerNorm/ln_1/weight,46080,0.0,36,0.078125,0,0.0,0.03606218844652176,1.595241665840149,1.595241665840149,0.0,0.0,0.0,0.0,0.0,0.0,0.10633680555555555,99.81553819444444,0.078125,0.0
GPT2-Large,ALL,LayerNorm/ln_2/bias,46080,0.0,0,0.0,0,0.0,-0.7515749335289001,0.6180544495582581,0.7515749335289001,0.0,0.006510416666666667,0.01953125,0.16059027777777776,1.7100694444444446,17.447916666666664,75.39930555555556,5.256076388888889,0.0,0.0
GPT2-Large,ALL,LayerNorm/ln_2/weight,46080,0.0,0,0.0,0,0.0,3.0250877898652107e-05,0.9055263996124268,0.9055263996124268,0.0,0.0,0.0,0.002170138888888889,0.006510416666666667,0.013020833333333334,0.1931423611111111,99.78515625,0.0,0.0
GPT2-Large,ALL,LayerNorm/ln_f/bias,1280,0.0,0,0.0,0,0.0,-0.30957385897636414,0.5055245161056519,0.5055245161056519,0.0,0.0,0.0,0.15625,0.703125,10.625,72.890625,15.625,0.0,0.0
GPT2-Large,ALL,LayerNorm/ln_f/weight,1280,0.0,1274,99.53125,0,0.0,0.06301258504390717,2.1821913719177246,2.1821913719177246,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.3125,99.53125,0.0
GPT2-Large,L0,Attn/O/bias,1280,0.0,0,0.0,0,0.0,-0.2686217129230499,0.30930113792419434,0.30930113792419434,0.0,0.0,0.0,0.078125,3.28125,34.921875,60.46875000000001,1.25,0.0,0.0
GPT2-Large,L0,Attn/O/weight,1638400,0.0,0,0.0,0,0.0,-0.6620216965675354,0.7378926277160645,0.7378926277160645,0.00048828125,0.00250244140625,0.0267333984375,0.2724609375,2.70806884765625,26.1103515625,70.30181884765625,0.57757568359375,0.0,0.0
GPT2-Large,L0,Attn/QKV/bias,3840,0.0,0,0.0,0,0.0,-0.8348884582519531,0.7603127956390381,0.8348884582519531,0.0,0.0,0.10416666666666667,0.3645833333333333,2.8125,21.458333333333332,51.45833333333333,23.802083333333332,0.0,0.0
GPT2-Large,L0,Attn/QKV/weight,4915200,0.0,0,0.0,0,0.0,-0.47063443064689636,0.4798519015312195,0.4798519015312195,0.000244140625,0.0014851888020833335,0.016153971354166664,0.16050211588541666,1.6007893880208333,15.755391438802082,73.90071614583333,8.564717610677084,0.0,0.0
GPT2-Large,L0,FFN/Intermediate/bias,5120,0.0,0,0.0,0,0.0,-0.2265087366104126,0.14167039096355438,0.2265087366104126,0.0,0.0,0.0,0.0,0.25390625,2.265625,92.91015625,4.5703125,0.0,0.0
GPT2-Large,L0,FFN/Intermediate/weight,6553600,0.0,0,0.0,0,0.0,-0.5075268149375916,0.48709291219711304,0.5075268149375916,9.1552734375e-05,0.001617431640625,0.0147705078125,0.156646728515625,1.5619659423828125,15.506912231445312,79.0106201171875,3.74737548828125,0.0,0.0
GPT2-Large,L0,FFN/Output/bias,1280,0.0,1,0.078125,0,0.0,-1.1273212432861328,0.24382570385932922,1.1273212432861328,0.0,0.0,0.078125,0.078125,1.40625,14.84375,80.078125,3.4375000000000004,0.078125,0.0
