model,scope,category,n_total,pct_zero,n_abs_gt_1,pct_abs_gt_1,n_abs_gt_10,pct_abs_gt_10,min,max,maxabs,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]"
OPT-1.3B,ALL,Attn/K/bias,49152,0.0,0,0.0,0,0.0,-0.5,0.5,0.5,0.0,0.0,0.016276041666666664,0.14851888020833331,1.2959798177083335,7.515462239583333,51.877848307291664,39.14591471354167,0.0
OPT-1.3B,ALL,Attn/K/weight,100663296,0.00011722246805826823,0,0.0,0,0.0,-0.291015625,0.290283203125,0.291015625,0.0002284844716389974,0.003575285275777181,0.036534667015075684,0.36350886027018225,3.6361644665400186,34.114789962768555,61.74989938735962,0.09518166383107504,0.0
OPT-1.3B,ALL,Attn/O/bias,49152,0.0,0,0.0,0,0.0,-0.2509765625,0.250244140625,0.2509765625,0.0,0.002034505208333333,0.056966145833333336,0.567626953125,5.9326171875,50.87890625,42.40926106770833,0.152587890625,0.0
OPT-1.3B,ALL,Attn/O/weight,100663296,0.0002006689707438151,0,0.0,0,0.0,-0.5,0.5,0.5,0.0004023313522338867,0.00631113847096761,0.0649432341257731,0.6492992242177327,6.4590444167455034,49.25202627976735,43.53534777959187,0.0324249267578125,0.0
OPT-1.3B,ALL,Attn/Q/bias,49152,0.0020345052083333335,0,0.0,0,0.0,-0.27783203125,0.267822265625,0.27783203125,0.0,0.004069010416666666,0.04679361979166667,0.3926595052083333,3.8431803385416665,36.65974934895833,56.730143229166664,2.321370442708333,0.0
OPT-1.3B,ALL,Attn/Q/weight,100663296,0.00010927518208821614,0,0.0,0,0.0,-0.26708984375,0.25634765625,0.26708984375,0.00023345152537027994,0.0035921732584635415,0.03551145394643147,0.3541290760040283,3.54135533173879,32.6819787422816,63.07689050833384,0.3061999877293905,0.0
OPT-1.3B,ALL,Attn/V/bias,49152,0.0020345052083333335,0,0.0,0,0.0,-0.112548828125,0.126220703125,0.126220703125,0.004069010416666666,0.056966145833333336,0.6062825520833333,6.227620442708334,49.22281901041667,42.755126953125,1.1189778645833335,0.006103515625,0.0
OPT-1.3B,ALL,Attn/V/weight,100663296,0.00020762284596761069,0,0.0,0,0.0,-0.21728515625,0.16845703125,0.21728515625,0.00033676624298095703,0.005264083544413248,0.05325575669606527,0.533031423886617,5.256179968516031,44.13711031277974,50.00450909137726,0.010104974110921223,0.0
OPT-1.3B,ALL,Embeddings/positions/weight,4198400,0.04909012957317073,0,0.0,0,0.0,-0.269775390625,0.2919921875,0.2919921875,0.00042873475609756103,0.008241234756097561,0.07983993902439024,0.7976848323170731,7.984470274390245,63.18935785060975,27.772341844512194,0.11854516006097561,0.0
OPT-1.3B,ALL,Embeddings/weight,102957056,7.187462702896244e-05,0,0.0,0,0.0,-0.2919921875,0.250244140625,0.2919921875,0.00011558217049252069,0.001966839455860121,0.01962080190016311,0.19629446280981463,1.966525732825927,19.42356723952946,77.70614963970998,0.6856878269712763,0.0
