model,scope,category,n_total,pct_zero,n_abs_gt_1,pct_abs_gt_1,n_abs_gt_10,pct_abs_gt_10,min,max,maxabs,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]","pct_(1e+02,1e+03]"
GPT2,ALL,Attn/O/bias,9216,0.0,26,0.2821180555555556,0,0.0,-5.3728837966918945,3.8490679264068604,5.3728837966918945,0.0,0.0,0.0,0.03255208333333333,0.5750868055555556,6.694878472222222,52.810329861111114,39.60503472222222,0.2821180555555555,0.0,0.0
GPT2,ALL,Attn/O/weight,7077888,0.0,3502,0.04947803638599537,0,0.0,-8.881817817687988,8.703431129455566,8.881817817687988,0.00011302806712962962,0.0009324815538194445,0.009353072554976851,0.09622927065248843,0.9487010814525463,8.871544731987848,58.58530115198206,31.43834714536314,0.049478036385995364,0.0,0.0
GPT2,ALL,Attn/QKV/bias,27648,0.0,53,0.19169560185185186,0,0.0,-2.61228084564209,2.745675563812256,2.745675563812256,0.0,0.0072337962962962955,0.028935185185185182,0.14467592592592593,1.7795138888888888,15.577980324074073,53.190104166666664,29.07986111111111,0.19169560185185186,0.0,0.0
GPT2,ALL,Attn/QKV/weight,21233664,0.0,2761,0.013002937222704476,0,0.0,-3.334056854248047,3.0998494625091553,3.334056854248047,8.006154755015431e-05,0.0006970064139660494,0.006522661373939044,0.06382789140866127,0.6420794828438464,6.304253472222222,51.21377544638551,41.755761040581596,0.013002937222704474,0.0,0.0
GPT2,ALL,Classifier/weight,1536,0.0,0,0.0,0,0.0,-0.06129239872097969,0.061109766364097595,0.06129239872097969,0.0,0.0,0.0,0.1953125,4.166666666666666,34.1796875,61.458333333333336,0.0,0.0,0.0,0.0
GPT2,ALL,Embeddings/wpe/weight,786432,0.0,994,0.12639363606770834,0,0.0,-4.538113594055176,4.065310955047607,4.538113594055176,0.002161661783854167,0.013987223307291666,0.1495361328125,1.4912923177083335,14.883041381835938,62.66619364420573,13.949966430664062,6.717427571614583,0.12639363606770831,0.0,0.0
GPT2,ALL,Embeddings/wte/weight,38597376,0.0,412,0.0010674300760756378,0,0.0,-1.2698166370391846,1.785156488418579,1.785156488418579,8.031634067559411e-05,0.0005026248416472663,0.0051894719475230645,0.0506822018159991,0.5154521385080686,5.131579410994156,46.8457078533007,47.449738552175155,0.0010674300760756378,0.0,0.0
GPT2,ALL,FFN/Intermediate/bias,36864,0.0,6,0.016276041666666668,0,0.0,-1.2262284755706787,1.7314809560775757,1.7314809560775757,0.0,0.0,0.005425347222222222,0.06781684027777778,0.686306423611111,6.358506944444445,50.64019097222222,42.22547743055556,0.016276041666666664,0.0,0.0
GPT2,ALL,FFN/Intermediate/weight,28311552,0.0,889,0.003140060989945023,1,3.532127097800926e-06,-5.8740129470825195,10.555802345275879,10.555802345275879,8.477105034722222e-05,0.000526286937572338,0.006043469464337385,0.05921611079463253,0.5950645164207176,5.9403984634964555,51.395656444408274,41.99986987643772,0.003136528862847222,3.5321270978009255e-06,0.0
GPT2,ALL,FFN/Output/bias,9216,0.0,18,0.1953125,0,0.0,-1.2829995155334473,1.8637499809265137,1.8637499809265137,0.0,0.0,0.010850694444444444,0.054253472222222224,0.6510416666666667,7.291666666666667,57.584635416666664,34.21223958333333,0.1953125,0.0,0.0
GPT2,ALL,FFN/Output/weight,28311552,0.0,4726,0.016692832664207177,9,3.1789143880208336e-05,-11.050446510314941,17.10232925415039,17.10232925415039,0.00010243168583622686,0.0008547747576678242,0.008300498679832177,0.08219259756582754,0.8139433684172455,7.372202696623625,56.797963601571546,34.907747198034215,0.016661043520326966,3.178914388020833e-05,0.0
GPT2,ALL,LayerNorm/ln_1/bias,9216,0.0,10,0.10850694444444445,0,0.0,-0.9785113334655762,1.7373355627059937,1.7373355627059937,0.0,0.0,0.021701388888888888,0.4991319444444444,4.850260416666666,40.41883680555556,52.09418402777778,2.0073784722222223,0.10850694444444445,0.0,0.0
GPT2,ALL,LayerNorm/ln_1/weight,9216,0.0,0,0.0,0,0.0,0.04186137020587921,0.957659900188446,0.957659900188446,0.0,0.0,0.0,0.0,0.0,0.0,1.0633680555555556,98.93663194444444,0.0,0.0,0.0
GPT2,ALL,LayerNorm/ln_2/bias,9216,0.0,0,0.0,0,0.0,-0.6949538588523865,0.7393816709518433,0.7393816709518433,0.0,0.010850694444444444,0.010850694444444444,0.2170138888888889,3.016493055555556,29.00390625,66.18923611111111,1.5516493055555556,0.0,0.0,0.0
GPT2,ALL,LayerNorm/ln_2/weight,9216,0.0,481,5.219184027777778,0,0.0,-0.00025572447339072824,1.5110347270965576,1.5110347270965576,0.0,0.0,0.0,0.0,0.010850694444444444,0.0,0.9982638888888888,93.77170138888889,5.219184027777778,0.0,0.0
GPT2,ALL,LayerNorm/ln_f/bias,768,0.0,7,0.9114583333333334,0,0.0,-4.191765308380127,7.368323802947998,7.368323802947998,0.0,0.0,0.0,0.26041666666666663,1.953125,13.802083333333334,70.3125,12.760416666666666,0.9114583333333334,0.0,0.0
GPT2,ALL,LayerNorm/ln_f/weight,768,0.0,754,98.17708333333333,7,0.9114583333333334,0.004427497740834951,17.4193172454834,17.4193172454834,0.0,0.0,0.0,0.0,0.0,0.5208333333333333,0.5208333333333333,0.78125,97.265625,0.9114583333333334,0.0
GPT2,L0,Attn/O/bias,768,0.0,11,1.4322916666666667,0,0.0,-2.684415817260742,2.0303163528442383,2.684415817260742,0.0,0.0,0.0,0.0,0.78125,8.463541666666668,65.36458333333334,23.958333333333336,1.4322916666666665,0.0,0.0
GPT2,L0,Attn/O/weight,589824,0.0,1009,0.17106797960069445,0,0.0,-3.317139148712158,3.060771942138672,3.317139148712158,0.0005086263020833333,0.0022040473090277775,0.023057725694444444,0.24125840928819445,2.3629082573784723,22.195265028211804,55.0506591796875,19.95307074652778,0.17106797960069445,0.0,0.0
