model,scope,category,n_total,pct_zero,n_abs_gt_1,pct_abs_gt_1,n_abs_gt_10,pct_abs_gt_10,min,max,maxabs,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]","pct_(1e+02,1e+03]"
GPT2-Medium,ALL,Attn/O/bias,24576,0.0,21,0.08544921875,0,0.0,-1.6493372917175293,3.942901849746704,3.942901849746704,0.0,0.004069010416666666,0.008138020833333332,0.08138020833333334,0.87890625,8.927408854166668,58.846028645833336,31.168619791666668,0.08544921875,0.0,0.0
GPT2-Medium,ALL,Attn/O/weight,25165824,0.0,5257,0.020889441172281902,0,0.0,-9.32827377319336,9.253884315490723,9.32827377319336,0.00010331471761067708,0.0009059906005859375,0.009429454803466797,0.09063482284545898,0.9093562761942545,9.023690223693848,64.82277313868204,25.122217337290447,0.0208894411722819,0.0,0.0
GPT2-Medium,ALL,Attn/QKV/bias,73728,0.0,41,0.055609809027777776,0,0.0,-1.4716742038726807,1.5480748414993286,1.5480748414993286,0.0,0.0013563368055555555,0.03662109375,0.2468532986111111,2.30712890625,20.765516493055554,60.9619140625,15.625,0.055609809027777776,0.0,0.0
GPT2-Medium,ALL,Attn/QKV/weight,75497472,0.0,2914,0.0038597318861219618,0,0.0,-2.920058488845825,2.699282169342041,2.920058488845825,8.609559800889758e-05,0.0006927384270562066,0.007461176978217231,0.07351769341362847,0.7341610060797797,7.280853059556749,58.24259254667494,33.6567759513855,0.0038597318861219618,0.0,0.0
GPT2-Medium,ALL,Classifier/weight,2048,0.0,0,0.0,0,0.0,-0.06222129613161087,0.08362584561109543,0.08362584561109543,0.0,0.0,0.048828125,0.1953125,2.783203125,36.474609375,60.498046875,0.0,0.0,0.0,0.0
GPT2-Medium,ALL,Embeddings/wpe/weight,1048576,0.0,6,0.00057220458984375,0,0.0,-2.5235557556152344,2.589125394821167,2.589125394821167,0.001430511474609375,0.016689300537109375,0.13523101806640625,1.3988494873046875,14.034366607666016,69.83661651611328,12.769889831542969,1.8063545227050781,0.00057220458984375,0.0,0.0
GPT2-Medium,ALL,Embeddings/wte/weight,51463168,0.0,114,0.00022151764928268698,0,0.0,-1.3290700912475586,0.9381266236305237,1.3290700912475586,6.800980460433373e-05,0.0006451215751039656,0.006348229475495951,0.06452770260859184,0.6482092202330023,6.456244590305828,55.55102243219851,37.272713176149594,0.000221517649282687,0.0,0.0
GPT2-Medium,ALL,FFN/Intermediate/bias,98304,0.0,6,0.006103515625,0,0.0,-1.425657868385315,1.731412410736084,1.731412410736084,0.0,0.0,0.010172526041666668,0.0640869140625,0.6032307942708333,6.022135416666666,68.00435384114584,25.2899169921875,0.006103515625,0.0,0.0
GPT2-Medium,ALL,FFN/Intermediate/weight,100663296,0.0,1208,0.0012000401814778645,0,0.0,-4.972433090209961,5.147237300872803,5.147237300872803,7.152557373046875e-05,0.0006973743438720703,0.006997585296630859,0.07001161575317383,0.7009893655776978,6.988142927487691,58.80142947038015,33.43046009540558,0.0012000401814778647,0.0,0.0
GPT2-Medium,ALL,FFN/Output/bias,24576,0.0,36,0.146484375,0,0.0,-2.4375016689300537,2.6941170692443848,2.6941170692443848,0.0,0.0,0.020345052083333336,0.052897135416666664,0.7080078125,7.31201171875,59.883626302083336,31.876627604166668,0.146484375,0.0,0.0
