model,scope,category,n_total,pct_zero,n_abs_gt_1,pct_abs_gt_1,n_abs_gt_10,pct_abs_gt_10,min,max,maxabs,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]"
GPT2-XL,ALL,Attn/O/bias,76800,0.0,5,0.006510416666666667,0,0.0,-1.6055467128753662,1.1596519947052002,1.6055467128753662,0.0,0.0,0.027343750000000003,0.22786458333333334,2.2083333333333335,21.25,74.82291666666666,1.45703125,0.006510416666666667,0.0
GPT2-XL,ALL,Attn/O/weight,122880000,0.0,538,0.0004378255208333333,0,0.0,-2.651146411895752,2.6857221126556396,2.6857221126556396,0.0002286783854166667,0.00199462890625,0.0209619140625,0.20718017578125,2.0756355794270833,20.33795572916667,76.24839762369791,1.1072078450520833,0.0004378255208333333,0.0
GPT2-XL,ALL,Attn/QKV/bias,230400,0.0,19,0.008246527777777778,0,0.0,-1.3994873762130737,1.3366050720214844,1.3994873762130737,0.00043402777777777775,0.00390625,0.018663194444444444,0.2625868055555556,2.4348958333333335,21.62282986111111,68.65668402777779,6.991753472222221,0.008246527777777778,0.0
GPT2-XL,ALL,Attn/QKV/weight,368640000,0.0,0,0.0,0,0.0,-0.6273059844970703,0.5996444821357727,0.6273059844970703,0.0002023654513888889,0.0019148763020833332,0.018893771701388888,0.18906901041666666,1.8867461480034722,18.539628363715277,77.14073079427082,2.222814670138889,0.0,0.0
GPT2-XL,ALL,Classifier/weight,3200,0.0,0,0.0,0,0.0,-0.07988659292459488,0.06392437219619751,0.07988659292459488,0.0,0.0,0.0,0.34375,3.5937499999999996,33.59375,62.46874999999999,0.0,0.0,0.0
GPT2-XL,ALL,Embeddings/wpe/weight,1638400,0.0,4,0.000244140625,0,0.0,-2.0572683811187744,1.2746992111206055,2.0572683811187744,0.002197265625,0.019775390625,0.20086669921874997,2.0308837890625,20.039306640625,68.33160400390625,8.9425048828125,0.4326171875,0.000244140625,0.0
GPT2-XL,ALL,Embeddings/wte/weight,80411200,0.0,0,0.0,0,0.0,-0.32496488094329834,0.38547345995903015,0.38547345995903015,0.000206438904033269,0.001543317348827029,0.015428199056847803,0.15555668862049069,1.5610275682989434,15.485010794516189,78.57054116839444,4.210685824860218,0.0,0.0
GPT2-XL,ALL,FFN/Intermediate/bias,307200,0.0,0,0.0,0,0.0,-0.9318952560424805,0.3870481550693512,0.9318952560424805,0.0,0.0006510416666666667,0.015299479166666668,0.1318359375,1.3356119791666665,14.476236979166668,83.8359375,0.20442708333333331,0.0,0.0
GPT2-XL,ALL,FFN/Intermediate/weight,491520000,0.0,18,3.662109375e-06,0,0.0,-1.8951003551483154,1.3072863817214966,1.8951003551483154,0.00020650227864583333,0.0018731689453125,0.0185479736328125,0.18522664388020835,1.856386922200521,18.32525187174479,78.46549214680991,1.1470111083984376,3.662109375e-06,0.0
GPT2-XL,ALL,FFN/Output/bias,76800,0.0,0,0.0,0,0.0,-0.9960546493530273,0.5804567337036133,0.9960546493530273,0.0,0.002604166666666667,0.01953125,0.17317708333333334,1.875,18.502604166666668,77.5859375,1.8411458333333333,0.0,0.0
