model,scope,category,n_total,pct_zero,n_abs_gt_1,pct_abs_gt_1,n_abs_gt_10,pct_abs_gt_10,min,max,maxabs,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]"
ViT-Base,ALL,Attn/K/bias,9216,0.0,0,0.0,0,0.0,-0.2558421492576599,0.2667856514453888,0.2667856514453888,0.0,0.0,0.010850694444444444,0.15190972222222224,1.1610243055555556,10.774739583333332,74.75043402777779,13.151041666666666,0.0,0.0
ViT-Base,ALL,Attn/K/weight,7077888,0.0,90,0.0012715657552083333,0,0.0,-1.6298023462295532,1.65898597240448,1.65898597240448,0.00011302806712962962,0.001045509620949074,0.009183530454282407,0.09237218786168981,0.9200767234519677,9.117705733687789,68.14056679054544,21.717664930555554,0.0012715657552083335,0.0
ViT-Base,ALL,Attn/O/bias,9216,0.0,7,0.0759548611111111,0,0.0,-1.419834017753601,1.2462924718856812,1.419834017753601,0.0,0.0,0.021701388888888888,0.1953125,1.6927083333333333,18.99956597222222,71.80989583333334,7.204861111111111,0.07595486111111112,0.0
ViT-Base,ALL,Attn/O/weight,7077888,0.0,9,0.00012715657552083334,0,0.0,-2.547246217727661,1.286956787109375,2.547246217727661,0.00011302806712962962,0.0010596381293402778,0.010836565936053241,0.10822437427662036,1.0670414677372686,10.599320023148149,70.95639264142072,17.256885104709202,0.00012715657552083332,0.0
ViT-Base,ALL,Attn/Q/bias,9216,0.0,0,0.0,0,0.0,-0.7935153245925903,0.7769215703010559,0.7935153245925903,0.0,0.0,0.021701388888888888,0.06510416666666666,0.78125,6.901041666666667,51.84461805555556,40.38628472222222,0.0,0.0
ViT-Base,ALL,Attn/Q/weight,7077888,0.0,422,0.005962230541087963,0,0.0,-1.8619531393051147,1.7897006273269653,1.8619531393051147,9.889955873842592e-05,0.0009607385706018518,0.009692156756365741,0.09228741681134259,0.9209809479890045,9.189224243164062,68.08241385000723,21.698379516601562,0.005962230541087963,0.0
ViT-Base,ALL,Attn/V/bias,9216,0.0,0,0.0,0,0.0,-0.2335646003484726,0.21488185226917267,0.2335646003484726,0.0,0.0,0.054253472222222224,0.3038194444444445,2.962239583333333,27.745225694444443,67.53472222222221,1.3997395833333335,0.0,0.0
ViT-Base,ALL,Attn/V/weight,7077888,0.0,0,0.0,0,0.0,-0.6181060671806335,0.5515322089195251,0.6181060671806335,0.00015541359230324074,0.0011726661964699073,0.009904084382233795,0.10756033438223381,1.095665825737847,10.870530870225695,70.29312981499565,17.621880990487558,0.0,0.0
ViT-Base,ALL,Classifier/bias,1000,0.0,0,0.0,0,0.0,-0.03897351026535034,0.09960334748029709,0.09960334748029709,0.0,0.0,0.0,0.3,4.9,40.2,54.6,0.0,0.0,0.0
ViT-Base,ALL,Classifier/weight,768000,0.0,0,0.0,0,0.0,-0.1592240184545517,0.16257216036319733,0.16257216036319733,0.00026041666666666666,0.0022135416666666666,0.025390625,0.2583333333333333,2.558984375,24.11510416666667,72.95846354166666,0.08125,0.0,0.0
