model,scope,category,n_total,pct_zero,min,max,maxabs,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]"
RTE,L8,Attn/K/weight,589824,0.0,-0.40068742632865906,0.38321563601493835,0.40068742632865906,0.00016954210069444444,0.001864963107638889,0.013393825954861112,0.16547309027777776,1.6718546549479167,16.38522677951389,79.30450439453125,2.4575127495659723,0.0,0.0
RTE,L8,Attn/O/bias,768,0.0,-0.1947416067123413,1.2156671285629272,1.2156671285629272,0.0,0.0,0.0,0.13020833333333331,1.6927083333333333,15.494791666666666,78.515625,4.036458333333334,0.13020833333333331,0.0
RTE,L8,Attn/O/weight,589824,0.0,-0.5419325232505798,0.411164253950119,0.5419325232505798,0.0003390842013888889,0.0016954210069444445,0.0244140625,0.22226969401041666,2.215576171875,21.734619140625,75.34332275390625,0.457763671875,0.0,0.0
RTE,L8,Attn/Q/bias,768,0.0,-0.6898576021194458,0.7407756447792053,0.7407756447792053,0.0,0.0,0.0,0.0,0.9114583333333334,6.640625,45.703125,46.74479166666667,0.0,0.0
RTE,L8,Attn/Q/weight,589824,0.0,-0.37882301211357117,0.34897565841674805,0.37882301211357117,0.00016954210069444444,0.0013563368055555555,0.017293294270833336,0.16326904296875,1.6610039605034723,16.37658013237847,79.33400472005209,2.446322970920139,0.0,0.0
RTE,L8,Attn/V/bias,768,0.0,-0.4503561556339264,0.23975300788879395,0.4503561556339264,0.0,0.0,0.0,0.0,3.2552083333333335,26.432291666666668,67.44791666666666,2.864583333333333,0.0,0.0
RTE,L8,Attn/V/weight,589824,0.0,-0.18734504282474518,0.17688120901584625,0.18734504282474518,0.0006781684027777778,0.002034505208333333,0.021870930989583336,0.2197265625,2.107577853732639,20.547315809461804,76.46060519748264,0.6401909722222222,0.0,0.0
RTE,L8,FFN/Intermediate/bias,3072,0.0,-0.43286705017089844,0.4453541338443756,0.4453541338443756,0.0,0.0,0.0,0.0,0.16276041666666669,1.6276041666666667,42.96875,55.240885416666664,0.0,0.0
RTE,L8,FFN/Intermediate/weight,2359296,0.0,-0.43345680832862854,0.3764400780200958,0.43345680832862854,0.00016954210069444444,0.0017378065321180555,0.01877678765190972,0.19098917643229169,1.8552144368489583,18.43812730577257,78.3440907796224,1.1508941650390625,0.0,0.0
RTE,L8,FFN/OutputDense/bias,768,0.0,-0.8093743920326233,0.43289390206336975,0.8093743920326233,0.0,0.0,0.0,0.13020833333333331,1.171875,10.807291666666668,68.88020833333334,19.010416666666664,0.0,0.0
RTE,L8,FFN/OutputDense/weight,2359296,0.0,-3.1337499618530273,1.1225324869155884,3.1337499618530273,0.00021192762586805556,0.0022040473090277775,0.0194549560546875,0.20196702745225695,1.9982231987847223,19.810273912217884,76.96728176540799,1.000128851996528,0.00025431315104166663,0.0
RTE,L8,LayerNorm/bias,1536,0.0,-1.7453070878982544,0.6954525113105774,1.7453070878982544,0.0,0.0,0.0,0.13020833333333331,1.2369791666666665,7.682291666666667,64.51822916666666,26.3671875,0.06510416666666666,0.0
RTE,L8,LayerNorm/weight,1536,0.0,0.26114243268966675,3.4017276763916016,3.4017276763916016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.86979166666666,0.13020833333333331,0.0
RTE,L9,Attn/K/bias,768,0.0,-0.02476482279598713,0.032333314418792725,0.032333314418792725,0.0,0.0,0.26041666666666663,0.390625,10.9375,76.69270833333334,11.71875,0.0,0.0,0.0
RTE,L9,Attn/K/weight,589824,0.0,-0.5265503525733948,0.627938985824585,0.627938985824585,0.0,0.0013563368055555555,0.018480088975694444,0.1556396484375,1.5782674153645833,15.816582573784721,79.45421006944444,2.9754638671875,0.0,0.0
RTE,L9,Attn/O/bias,768,0.0,-0.16104139387607574,0.6453506350517273,0.6453506350517273,0.0,0.0,0.26041666666666663,0.13020833333333331,1.4322916666666665,12.5,77.60416666666666,8.072916666666668,0.0,0.0
RTE,L9,Attn/O/weight,589824,0.0,-0.37349745631217957,0.35769912600517273,0.37349745631217957,0.0,0.002034505208333333,0.022549099392361112,0.21311442057291666,2.218967013888889,21.99181450737847,75.24346245659721,0.3080579969618055,0.0,0.0
RTE,L9,Attn/Q/bias,768,0.0,-0.7555187940597534,0.7662596106529236,0.7662596106529236,0.0,0.0,0.0,0.13020833333333331,0.5208333333333333,7.03125,42.578125,49.73958333333333,0.0,0.0
RTE,L9,Attn/Q/weight,589824,0.0,-0.2463289201259613,0.27011993527412415,0.27011993527412415,0.00016954210069444444,0.002712673611111111,0.016954210069444444,0.14970567491319445,1.557074652777778,15.625678168402779,79.62849934895834,3.019205729166667,0.0,0.0
RTE,L9,Attn/V/bias,768,0.0,-0.23966744542121887,0.2562444806098938,0.2562444806098938,0.0,0.0,0.0,0.13020833333333331,1.953125,24.609375,71.09375,2.213541666666667,0.0,0.0
RTE,L9,Attn/V/weight,589824,0.0,-0.19909705221652985,0.20888420939445496,0.20888420939445496,0.0003390842013888889,0.0013563368055555555,0.017971462673611112,0.2071804470486111,2.129109700520833,20.925733778211804,76.24952528211806,0.4687839084201389,0.0,0.0
RTE,L9,FFN/Intermediate/bias,3072,0.0,-0.3645801842212677,0.5711645483970642,0.5711645483970642,0.0,0.0,0.0,0.03255208333333333,0.03255208333333333,0.8463541666666666,37.46744791666667,61.62109375,0.0,0.0
RTE,L9,FFN/Intermediate/weight,2359296,0.0,-0.8224592208862305,0.7369657754898071,0.8224592208862305,4.238552517361111e-05,0.001949734157986111,0.017208523220486112,0.1869625515407986,1.8444061279296875,18.32851833767361,78.42263115776909,1.1982811821831596,0.0,0.0
RTE,L9,FFN/OutputDense/bias,768,0.0,-0.6381621956825256,0.3460038900375366,0.6381621956825256,0.0,0.0,0.0,0.390625,0.6510416666666667,8.984375,74.34895833333334,15.625,0.0,0.0
RTE,L9,FFN/OutputDense/weight,2359296,0.0,-3.07324481010437,2.1858928203582764,3.07324481010437,0.00021192762586805556,0.0021192762586805555,0.018946329752604164,0.19484625922309026,1.9419352213541667,19.051996866861977,77.6068369547526,1.182005140516493,0.0011020236545138888,0.0
