model,scope,category,n_total,pct_zero,n_abs_gt_1,pct_abs_gt_1,n_abs_gt_10,pct_abs_gt_10,min,max,maxabs,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]"
BERT-Large,ALL,Attn/K/bias,24576,0.0,0,0.0,0,0.0,-0.02234487421810627,0.024026673287153244,0.024026673287153244,0.004069010416666666,0.03662109375,0.23193359375,3.076171875,26.62353515625,67.0166015625,3.011067708333333,0.0,0.0,0.0
BERT-Large,ALL,Attn/K/weight,25165824,0.0,0,0.0,0,0.0,-0.6262581944465637,0.7184009552001953,0.7184009552001953,0.000282128651936849,0.002022584279378255,0.019506613413492836,0.19859870274861655,1.9849141438802083,19.570990403493248,77.35416491826376,0.8695205052693685,0.0,0.0
BERT-Large,ALL,Attn/O/bias,24576,0.0,0,0.0,0,0.0,-0.520212709903717,0.7061612010002136,0.7061612010002136,0.0,0.0,0.0244140625,0.341796875,3.2633463541666665,30.18798828125,64.63216145833334,1.55029296875,0.0,0.0
BERT-Large,ALL,Attn/O/weight,25165824,0.0,0,0.0,0,0.0,-0.9963775277137756,0.9044337272644043,0.9963775277137756,0.00022649765014648438,0.002678235371907552,0.02765655517578125,0.2770463625590006,2.773980299631755,26.891760031382244,69.92649237314859,0.1001596450805664,0.0,0.0
BERT-Large,ALL,Attn/Q/bias,24576,0.0,0,0.0,0,0.0,-0.6665852665901184,0.7026970982551575,0.7026970982551575,0.0,0.0,0.016276041666666664,0.10986328125,1.40380859375,13.26904296875,66.65445963541666,18.546549479166664,0.0,0.0
BERT-Large,ALL,Attn/Q/weight,25165824,0.0,0,0.0,0,0.0,-0.500102162361145,0.4353864789009094,0.500102162361145,0.0002463658650716146,0.0020424524943033857,0.01957416534423828,0.19533236821492514,1.9606709480285645,19.311602910359703,77.5783141454061,0.9322166442871094,0.0,0.0
BERT-Large,ALL,Attn/V/bias,24576,0.0,0,0.0,0,0.0,-0.23899251222610474,0.3073161244392395,0.3073161244392395,0.0,0.016276041666666664,0.0244140625,0.4964192708333333,4.899088541666666,45.02360026041667,49.22688802083333,0.31331380208333337,0.0,0.0
BERT-Large,ALL,Attn/V/weight,25165824,0.0,0,0.0,0,0.0,-0.2542524039745331,0.22203512489795685,0.2542524039745331,0.0003457069396972656,0.0026981035868326826,0.02553860346476237,0.26624600092569983,2.6478926340738935,25.579142570495605,71.37165466944376,0.10648171106974284,0.0,0.0
BERT-Large,ALL,FFN/Intermediate/bias,98304,0.0,0,0.0,0,0.0,-0.3065870702266693,0.7388213872909546,0.7388213872909546,0.0,0.0,0.0010172526041666665,0.010172526041666668,0.15055338541666669,1.3875325520833335,95.17008463541666,3.2806396484375,0.0,0.0
BERT-Large,ALL,FFN/Intermediate/weight,100663296,0.0,4,3.973642985026042e-06,0,0.0,-1.4013110399246216,1.0873736143112183,1.4013110399246216,0.00020762284596761069,0.0019878149032592773,0.020694732666015625,0.2083073059717814,2.082730333010356,20.514389872550964,76.60819192727408,0.5634864171346028,3.973642985026041e-06,0.0
