task,arch,model,probe,probe_display,layer,count,mean,std,min,max,accum_max
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,8,1120796672,0.005203,0.530236,-7.245412,6.150726,23.737442
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,9,1120796672,0.001909,0.884201,-9.735253,9.515308,40.095459
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,10,1120796672,-0.028493,1.128837,-8.265571,8.056168,37.139244
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,11,1120796672,-0.009930,0.992538,-7.260695,7.670604,29.068514
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,12,1120796672,-0.002258,0.998056,-7.769487,8.440276,30.931259
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,13,1120796672,-0.001804,1.061713,-6.596500,7.005777,26.042070
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,14,1120796672,0.017564,0.976727,-7.300314,7.113710,24.198282
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,15,1120796672,-0.010059,0.873957,-6.816724,6.728151,23.866579
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,16,1120796672,-0.006591,1.135917,-7.869579,7.537036,23.785387
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,17,1120796672,0.002783,1.263193,-9.374865,8.526846,30.113361
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,18,1120796672,0.017775,1.070441,-7.303775,7.232108,26.923046
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,19,1120796672,-0.005325,0.990325,-7.952870,7.093394,25.434076
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,20,1120796672,0.016972,1.059505,-7.479352,7.693435,25.021742
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,21,1120796672,0.000360,1.170335,-7.767639,7.968659,25.665752
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,22,1120796672,-0.009896,1.245001,-8.623246,8.154243,26.337473
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,23,1120796672,0.007349,1.347622,-9.041319,9.076894,28.291906
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,0,1120796672,-0.006232,0.370293,-6.466997,3.359040,16.236465
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,1,1120796672,-0.004167,0.575227,-5.283233,5.692655,20.495268
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,2,1120796672,-0.017513,0.410317,-4.723027,4.890303,19.620310
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,3,1120796672,0.006132,0.332354,-4.447206,4.478827,18.827663
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,4,1120796672,0.001957,0.294321,-4.597992,4.969516,19.767895
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,5,1120796672,0.005321,0.237213,-4.510628,4.646431,20.419054
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,6,1120796672,0.000574,0.220043,-4.618212,5.140508,19.965435
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,7,1120796672,0.001284,0.212821,-4.865580,4.458262,19.572676
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,8,1120796672,-0.001568,0.220117,-4.722826,5.325914,19.813126
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,9,1120796672,-0.005731,0.282872,-4.488171,6.079129,17.770895
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,10,1120796672,-0.001914,0.308831,-5.095292,5.343315,19.942715
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,11,1120796672,0.000743,0.443600,-5.188383,4.817559,19.613253
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,12,1120796672,0.004392,0.459132,-6.170499,6.325654,21.387009
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,13,1120796672,-0.007812,0.456220,-4.818820,4.886526,19.510248
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,14,1120796672,-0.011970,0.566387,-5.591704,5.334181,20.072557
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,15,1120796672,0.006334,0.585542,-5.240195,5.385462,18.751318
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,16,1120796672,0.001079,0.600919,-6.839217,8.031766,21.456650
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,17,1120796672,-0.016988,0.573634,-5.566995,5.918533,19.478107
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,18,1120796672,-0.006173,0.645715,-6.424502,5.674873,23.595772
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,19,1120796672,-0.001898,0.664246,-5.960474,7.460852,22.346735
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,20,1120796672,0.014010,0.769274,-7.253137,6.227365,23.101913
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,21,1120796672,0.025310,0.835793,-6.877137,6.783991,23.552132
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,22,1120796672,-0.000602,0.811509,-5.402031,6.543169,23.732922
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,23,1120796672,0.018469,0.865187,-7.009309,5.661033,22.956820
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),0,2241593344,2.887718,15.762703,-116.206421,99.752037,160.626022
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),1,2241593344,-23.076722,17.926760,-184.035828,108.459129,197.749405
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),2,2241593344,0.594155,11.364376,-274.020081,166.584534,283.509064
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),3,2241593344,13.817195,15.467244,-247.011459,333.515747,358.334747
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),4,2241593344,11.888387,15.850171,-212.606476,223.342026,288.368500
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),5,2241593344,19.140725,7.549635,-195.398392,114.563156,210.377396
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),6,2241593344,13.187584,7.428233,-147.925812,88.120865,161.125793
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),7,2241593344,7.450763,6.758798,-105.837547,84.313164,147.463394
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),8,2241593344,10.644988,6.466236,-123.124886,95.479065,166.705826
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),9,2241593344,17.060647,15.705930,-337.614410,296.712494,406.341583
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),10,2241593344,21.788708,19.651217,-290.992859,309.374634,370.896698
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),11,2241593344,16.596830,12.594751,-131.633102,171.932938,212.387512
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),12,2241593344,8.853519,14.570663,-166.724609,204.139679,238.374023
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),13,2241593344,13.886859,14.071946,-89.417671,152.657288,174.670837
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),14,2241593344,13.790559,12.800580,-78.914192,139.374832,162.284348
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),15,2241593344,7.458240,12.220664,-100.568115,133.698441,183.336075
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),16,2241593344,25.070651,15.191814,-81.757500,153.666901,181.361649
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),17,2241593344,26.204781,18.051907,-241.147018,207.483994,270.478943
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),18,2241593344,8.006286,15.824162,-123.382584,140.496826,193.738159
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),19,2241593344,1.059176,13.264364,-106.703590,126.669891,171.932983
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),20,2241593344,0.243495,20.949185,-135.002365,158.373032,198.761551
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),21,2241593344,-12.393806,28.921389,-255.270370,101.343346,262.084442
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),22,2241593344,-18.795987,23.559337,-128.076706,90.740021,202.040909
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),23,2241593344,-25.680371,23.625073,-156.273743,75.626183,262.906769
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,0,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,12.469005,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,1,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,13.557391,
