task,arch,model,probe,probe_display,layer,count,n_zero,pct_zero,n_gt1,pct_gt1,n_gt10,pct_gt10,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]","pct_(1e+02,1e+03]","pct_(1e+03,1e+04]","pct_(1e+04,1e+05]"
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,15,1120796672,4,0.0000,351049006,31.3214,0,0.0000,0.0000,0.0001,0.0008,0.0075,0.0752,0.7512,7.4928,60.3510,31.3214,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,16,1120796672,3,0.0000,374407613,33.4055,0,0.0000,0.0000,0.0001,0.0007,0.0071,0.0709,0.7086,7.0809,58.7262,33.4055,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,17,1120796672,1,0.0000,392849026,35.0509,0,0.0000,0.0000,0.0001,0.0007,0.0068,0.0685,0.6840,6.8330,57.3560,35.0509,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,18,1120796672,1,0.0000,394952493,35.2385,0,0.0000,0.0000,0.0001,0.0007,0.0068,0.0687,0.6880,6.8660,57.1312,35.2385,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,19,1120796672,1,0.0000,401542404,35.8265,0,0.0000,0.0000,0.0001,0.0007,0.0068,0.0677,0.6776,6.7049,56.7157,35.8265,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,20,1120796672,4,0.0000,446998447,39.8822,0,0.0000,0.0000,0.0001,0.0006,0.0061,0.0614,0.6135,6.1998,53.2363,39.8822,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,21,1120796672,1,0.0000,422218197,37.6713,0,0.0000,0.0000,0.0001,0.0007,0.0066,0.0658,0.6578,6.5795,55.0182,37.6713,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,22,1120796672,4,0.0000,441239351,39.3684,0,0.0000,0.0000,0.0001,0.0006,0.0063,0.0634,0.6340,6.3418,53.5854,39.3684,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,23,1120796672,2,0.0000,489148846,43.6430,1,0.0000,0.0000,0.0001,0.0006,0.0062,0.0618,0.6191,6.2345,49.4348,43.6430,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,query_proj,XW_q + b_q,AGG,26899120128,48,0.0000,7264561483,27.0067,10,0.0000,0.0000,0.0001,0.0009,0.0091,0.0912,0.9101,9.0388,62.9432,27.0067,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,0,1120796672,0,0.0000,234614269,20.9328,0,0.0000,0.0000,0.0001,0.0001,0.0058,0.0961,1.0278,9.8811,68.0563,20.9328,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,1,1120796672,0,0.0000,357778276,31.9218,0,0.0000,0.0000,0.0001,0.0008,0.0075,0.0752,0.7527,7.5047,59.7372,31.9218,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,2,1120796672,0,0.0000,183030838,16.3304,0,0.0000,0.0000,0.0001,0.0011,0.0111,0.1114,1.1135,11.0624,71.3698,16.3304,0.0000,0.0000,0.0000,0.0000
