timestamp, index, name, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/08/16 19:46:44.722, 0, NVIDIA GeForce RTX 4090, 100, 1592, 230.88
2026/08/16 19:46:59.753, 0, NVIDIA GeForce RTX 4090, 0, 1592, 238.04
2026/08/16 19:47:14.799, 0, NVIDIA GeForce RTX 4090, 18, 1592, 258.51
2026/08/16 19:47:29.833, 0, NVIDIA GeForce RTX 4090, 66, 1592, 254.07
2026/08/16 19:47:44.888, 0, NVIDIA GeForce RTX 4090, 100, 1592, 260.62
2026/08/16 19:47:59.920, 0, NVIDIA GeForce RTX 4090, 0, 1592, 251.35
2026/08/16 19:48:14.972, 0, NVIDIA GeForce RTX 4090, 0, 1592, 71.08
2026/08/16 19:48:26.529, 0, NVIDIA GeForce RTX 4090, 0, 9, 26.30
2026/08/16 19:48:41.579, 0, NVIDIA GeForce RTX 4090, 100, 1592, 148.49
2026/08/16 19:48:56.627, 0, NVIDIA GeForce RTX 4090, 100, 1592, 337.35
2026/08/16 19:49:11.658, 0, NVIDIA GeForce RTX 4090, 96, 1592, 336.52
2026/08/16 19:49:26.712, 0, NVIDIA GeForce RTX 4090, 100, 1592, 339.92
2026/08/16 19:49:41.744, 0, NVIDIA GeForce RTX 4090, 100, 1592, 339.18
2026/08/16 19:49:56.792, 0, NVIDIA GeForce RTX 4090, 100, 1592, 339.24
2026/08/16 19:50:11.823, 0, NVIDIA GeForce RTX 4090, 100, 1592, 341.21
2026/08/16 19:50:26.870, 0, NVIDIA GeForce RTX 4090, 96, 1592, 340.69
2026/08/16 19:50:41.902, 0, NVIDIA GeForce RTX 4090, 100, 1592, 340.49
2026/08/16 19:50:56.952, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.28
2026/08/16 19:51:11.982, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.87
2026/08/16 19:51:27.036, 0, NVIDIA GeForce RTX 4090, 96, 1592, 345.81
2026/08/16 19:51:42.068, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.65
2026/08/16 19:51:57.116, 0, NVIDIA GeForce RTX 4090, 95, 1592, 343.90
2026/08/16 19:52:12.148, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.96
2026/08/16 19:52:27.198, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.82
2026/08/16 19:52:42.231, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.30
2026/08/16 19:52:57.285, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.21
2026/08/16 19:53:12.317, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.74
2026/08/16 19:53:27.363, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.24
2026/08/16 19:53:42.395, 0, NVIDIA GeForce RTX 4090, 96, 1592, 345.05
2026/08/16 19:53:57.450, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.55
2026/08/16 19:54:12.482, 0, NVIDIA GeForce RTX 4090, 96, 1592, 345.55
2026/08/16 19:54:27.535, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.32
2026/08/16 19:54:42.568, 0, NVIDIA GeForce RTX 4090, 96, 1592, 344.16
2026/08/16 19:54:57.623, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.02
2026/08/16 19:55:12.655, 0, NVIDIA GeForce RTX 4090, 100, 1592, 346.73
2026/08/16 19:55:27.704, 0, NVIDIA GeForce RTX 4090, 100, 1592, 346.34
2026/08/16 19:55:42.734, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.73
2026/08/16 19:55:57.783, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.87
2026/08/16 19:56:12.815, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.51
2026/08/16 19:56:27.862, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.10
2026/08/16 19:56:42.893, 0, NVIDIA GeForce RTX 4090, 95, 1592, 345.06
2026/08/16 19:56:57.944, 0, NVIDIA GeForce RTX 4090, 96, 1592, 345.23
2026/08/16 19:57:12.976, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.48
2026/08/16 19:57:28.030, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.64
2026/08/16 19:57:43.063, 0, NVIDIA GeForce RTX 4090, 100, 1592, 346.24
2026/08/16 19:57:58.115, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.77
2026/08/16 19:58:13.147, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.67
2026/08/16 19:58:28.194, 0, NVIDIA GeForce RTX 4090, 96, 1592, 343.75
2026/08/16 19:58:43.226, 0, NVIDIA GeForce RTX 4090, 98, 1592, 341.89
2026/08/16 19:58:58.280, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.00
2026/08/16 19:59:13.311, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.42
2026/08/16 19:59:28.364, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.70
2026/08/16 19:59:43.397, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.72
2026/08/16 19:59:58.449, 0, NVIDIA GeForce RTX 4090, 96, 1592, 341.54
2026/08/16 20:00:13.482, 0, NVIDIA GeForce RTX 4090, 96, 1592, 341.86
2026/08/16 20:00:28.537, 0, NVIDIA GeForce RTX 4090, 96, 1592, 345.44
2026/08/16 20:00:43.570, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.88
2026/08/16 20:00:58.624, 0, NVIDIA GeForce RTX 4090, 96, 1592, 344.75
2026/08/16 20:01:13.657, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.05
2026/08/16 20:01:28.705, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.92
