worktree	ignored_files	disposable_cache_files_excluded	relevant_ignored_files_in_payload
/hy-tmp/RFR_k6_13_eb19c6af_20260727	96	96	0
/hy-tmp/RFR_stage2_18group_ff7e7526	74	74	0
/hy-tmp/RFR_stage2_presets_2dbc2934	85	85	0
/hy-tmp/Reinforcement-For-Robustness	237	218	19
/hy-tmp/rfr-elastic-diff-premerge-823108bd	53	53	0
/hy-tmp/rfr-elastic-diff-upstream-efc7e105	52	52	0
/hy-tmp/rfr-elastic-rl-gpu-scheduling-20260726	395	395	0
