episode,total_reward,terminal_reward,terminal_priority,terminal_loss_mean,terminal_loss_std,terminal_metric1_mean,valid_steps,invalid_steps,total_bits,safe_neighbor_active,safe_neighbor_mutation_count,safe_neighbor_radius
0,37.872578618255034,40.84536082474227,3,0.33974589183926585,0.002264311820390953,0.87265625,59,0,14779,False,0,0
1,37.97567140176019,40.948453608247426,3,0.33787881657481195,0.00355689301490914,0.87421875,59,0,14779,False,0,0
2,37.76948583474987,40.74226804123711,3,0.3389370582997799,0.0032737121443050976,0.87109375,59,0,14779,False,0,0
3,37.872578618255034,40.84536082474227,3,0.3405763730406761,0.0023431770034079698,0.87265625,59,0,14779,False,0,0
4,37.92412501000761,40.896907216494846,3,0.33815439194440844,0.0028861491066651465,0.8734375,59,0,14779,False,0,0
5,37.7179394429973,40.69072164948454,3,0.34079872295260427,0.0023301979645947565,0.8703125,59,0,14779,False,0,0
6,37.40866109248183,40.38144329896907,3,0.3403577610850334,0.0025706380373828742,0.865625,59,0,14779,False,0,0
7,37.66639305124472,40.63917525773196,3,0.34058795869350433,0.003964910735146445,0.86953125,59,0,14779,False,0,0
8,38.02721779351276,41.0,3,0.33596504777669906,0.002038012340332929,0.875,59,0,14779,False,0,0
9,37.76948583474987,40.74226804123711,3,0.3382770255208015,0.001830238666621742,0.87109375,59,0,14779,False,0,0
10,37.92412501000761,40.896907216494846,3,0.33823346346616745,0.002021092272835056,0.8734375,59,0,14779,False,0,0
11,37.92412501000761,40.896907216494846,3,0.3383145160973072,0.003512186043760633,0.8734375,59,0,14779,False,0,0
12,37.563300267739564,40.5360824742268,3,0.33976047337055204,0.003004791407731521,0.86796875,59,0,14779,False,0,0
13,38.130310577017916,41.103092783505154,3,0.34050488024950026,0.001246675612098594,0.8765625,59,0,14779,False,0,0
14,37.821032226502446,40.793814432989684,3,0.34316037520766257,0.0016578832827290433,0.871875,59,0,14779,False,0,0
15,37.7179394429973,40.69072164948454,3,0.3378728426992893,0.002788992189113154,0.8703125,59,0,14779,False,0,0
16,37.821032226502446,40.793814432989684,3,0.3401723362505436,0.003069180640651819,0.871875,59,0,14779,False,0,0
17,37.76948583474987,40.74226804123711,3,0.34039592891931536,0.0014369885123295275,0.87109375,59,0,14779,False,0,0
18,37.821032226502446,40.793814432989684,3,0.33866319358348845,0.0027069782328276843,0.871875,59,0,14779,False,0,0
19,38.078764185265335,41.051546391752574,3,0.33838308677077295,0.003935827304943448,0.87578125,59,0,14779,False,0,0
20,37.872578618255034,40.84536082474227,3,0.33953111097216604,0.0028252633094465523,0.87265625,59,0,14779,False,0,0
21,38.18185696877049,41.15463917525773,3,0.33896392285823823,0.004081786920473365,0.87734375,59,0,14779,False,0,0
22,37.76948583474987,40.74226804123711,3,0.34031505435705184,0.0040635409424126636,0.87109375,59,0,14779,False,0,0
23,37.872578618255034,40.84536082474227,3,0.33860319182276727,0.004246372146922544,0.87265625,59,0,14779,False,0,0
24,37.872578618255034,40.84536082474227,3,0.33778460174798963,0.0022068103349479635,0.87265625,59,0,14779,False,0,0
25,37.92412501000761,40.896907216494846,3,0.3422207958996296,0.0013152560132289387,0.8734375,59,0,14779,False,0,0
26,37.872578618255034,40.84536082474227,3,0.33836560845375063,0.0022161749109537963,0.87265625,59,0,14779,False,0,0
27,37.76948583474987,40.74226804123711,3,0.3408053800463676,0.0020302434447540393,0.87109375,59,0,14779,False,0,0
28,37.76948583474987,40.74226804123711,3,0.34041731208562853,0.00230587220330706,0.87109375,59,0,14779,False,0,0
29,37.821032226502446,40.793814432989684,3,0.3399467393755913,0.0037676272299915574,0.871875,59,0,14779,False,0,0
30,37.821032226502446,40.793814432989684,3,0.3421012684702873,0.00194329516535204,0.871875,59,0,14779,False,0,0
31,37.821032226502446,40.793814432989684,3,0.34109912142157556,0.001945113985849464,0.871875,59,0,14779,False,0,0
32,37.7179394429973,40.69072164948454,3,0.33711598068475723,0.001886384047811138,0.8703125,59,0,14779,False,0,0
33,37.821032226502446,40.793814432989684,3,0.34011384546756745,0.0027613025920051994,0.871875,59,0,14779,False,0,0
34,37.97567140176019,40.948453608247426,3,0.3408686213195324,0.00402341316968316,0.87421875,59,0,14779,False,0,0
35,37.76948583474987,40.74226804123711,3,0.33838012292981146,0.0022221961289931144,0.87109375,59,0,14779,False,0,0
36,37.7179394429973,40.69072164948454,3,0.3368237666785717,0.002860984697438363,0.8703125,59,0,14779,False,0,0
37,37.872578618255034,40.84536082474227,3,0.3376996234059334,0.001995637283215243,0.87265625,59,0,14779,False,0,0
38,37.51175387598699,40.48453608247423,3,0.340972313284874,0.0036314494916083804,0.8671875,59,0,14779,False,0,0
39,37.92412501000761,40.896907216494846,3,0.33910282254219054,0.00249533128531951,0.8734375,59,0,14779,False,0,0
40,37.76948583474987,40.74226804123711,3,0.3375720739364624,0.00409095330529311,0.87109375,59,0,14779,False,0,0
