0, NVIDIA GeForce RTX 4090, GPU-d2e4618d-8f59-9ac8-b95d-0f7c3bd307de, 00000000:01:00.0, 49140 MiB, 4 MiB, 0 %
1, NVIDIA GeForce RTX 4090, GPU-5ee16157-c7e4-7d62-6fef-6382a43301c3, 00000000:25:00.0, 49140 MiB, 1 MiB, 0 %
2, NVIDIA GeForce RTX 4090, GPU-c87864a0-3df8-176b-5233-6af60ad11110, 00000000:41:00.0, 49140 MiB, 1 MiB, 0 %
3, NVIDIA GeForce RTX 4090, GPU-9443792e-0956-5bec-eb86-adec16d63e66, 00000000:81:00.0, 49140 MiB, 1 MiB, 0 %
4, NVIDIA GeForce RTX 4090, GPU-43a48740-6e3d-de0d-1c33-76e8754e09b8, 00000000:A1:00.0, 49140 MiB, 1 MiB, 0 %
