0, NVIDIA GeForce RTX 4090, 4 MiB, 0 %
1, NVIDIA GeForce RTX 4090, 1 MiB, 0 %
2, NVIDIA GeForce RTX 4090, 1 MiB, 0 %
3, NVIDIA GeForce RTX 4090, 1 MiB, 0 %
4, NVIDIA GeForce RTX 4090, 1 MiB, 0 %
