task,arch,model,probe,probe_display,layer,count,mean,std,min,max
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),6,14646509568,-20.626999,64.971132,-442.018799,345.943359
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),7,14646509568,-25.916963,60.548137,-418.334442,360.876068
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),8,14646509568,-16.687455,51.440906,-377.233032,339.658783
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),9,14646509568,-20.135477,42.654649,-339.268372,322.850067
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),10,14646509568,-15.871618,36.228432,-391.117218,340.702118
gpt2_wt2,gpt2,gpt2,qkt_raw,QKᵀ (raw),11,14646509568,-6.501323,20.384154,-351.273132,216.147919
gpt2_wt2,gpt2,gpt2,attn_scores,QKᵀ/√dₖ + mask,0,14646509568,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,38.297852
gpt2_wt2,gpt2,gpt2,attn_scores,QKᵀ/√dₖ + mask,1,14646509568,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,18.441673
gpt2_wt2,gpt2,gpt2,attn_scores,QKᵀ/√dₖ + mask,2,14646509568,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,32.837498
gpt2_wt2,gpt2,gpt2,attn_scores,QKᵀ/√dₖ + mask,3,14646509568,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,17.407335
gpt2_wt2,gpt2,gpt2,attn_scores,QKᵀ/√dₖ + mask,4,14646509568,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,94.756706
gpt2_wt2,gpt2,gpt2,attn_scores,QKᵀ/√dₖ + mask,5,14646509568,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,14.649960
gpt2_wt2,gpt2,gpt2,attn_scores,QKᵀ/√dₖ + mask,6,14646509568,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,14.770968
gpt2_wt2,gpt2,gpt2,attn_scores,QKᵀ/√dₖ + mask,7,14646509568,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,18.874235
gpt2_wt2,gpt2,gpt2,attn_scores,QKᵀ/√dₖ + mask,8,14646509568,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,14.702266
gpt2_wt2,gpt2,gpt2,attn_scores,QKᵀ/√dₖ + mask,9,14646509568,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,14.390451
gpt2_wt2,gpt2,gpt2,attn_scores,QKᵀ/√dₖ + mask,10,14646509568,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,17.679243
gpt2_wt2,gpt2,gpt2,attn_scores,QKᵀ/√dₖ + mask,11,14646509568,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,27.018490
gpt2_wt2,gpt2,gpt2,attn_probs,Softmax(scores),0,14646509568,0.001953,0.022363,0.000000,1.000000
gpt2_wt2,gpt2,gpt2,attn_probs,Softmax(scores),1,14646509568,0.001953,0.014163,0.000000,1.000000
gpt2_wt2,gpt2,gpt2,attn_probs,Softmax(scores),2,14646509568,0.001953,0.020372,0.000000,1.000000
gpt2_wt2,gpt2,gpt2,attn_probs,Softmax(scores),3,14646509568,0.001953,0.024541,0.000000,1.000000
gpt2_wt2,gpt2,gpt2,attn_probs,Softmax(scores),4,14646509568,0.001953,0.026896,0.000000,1.000000
gpt2_wt2,gpt2,gpt2,attn_probs,Softmax(scores),5,14646509568,0.001953,0.029447,0.000000,1.000000
gpt2_wt2,gpt2,gpt2,attn_probs,Softmax(scores),6,14646509568,0.001953,0.027150,0.000000,1.000000
gpt2_wt2,gpt2,gpt2,attn_probs,Softmax(scores),7,14646509568,0.001953,0.030827,0.000000,1.000000
gpt2_wt2,gpt2,gpt2,attn_probs,Softmax(scores),8,14646509568,0.001953,0.027261,0.000000,1.000000
gpt2_wt2,gpt2,gpt2,attn_probs,Softmax(scores),9,14646509568,0.001953,0.028317,0.000000,1.000000
gpt2_wt2,gpt2,gpt2,attn_probs,Softmax(scores),10,14646509568,0.001953,0.026445,0.000000,1.000000
gpt2_wt2,gpt2,gpt2,attn_probs,Softmax(scores),11,14646509568,0.001953,0.022690,0.000000,1.000000
gpt2_wt2,gpt2,gpt2,attn_context,Softmax × V,0,1830813696,0.004702,0.165324,-1.876268,2.349988
gpt2_wt2,gpt2,gpt2,attn_context,Softmax × V,1,1830813696,0.006994,0.268391,-3.906218,2.870585
gpt2_wt2,gpt2,gpt2,attn_context,Softmax × V,2,1830813696,-0.007991,0.299168,-4.581427,2.661503
gpt2_wt2,gpt2,gpt2,attn_context,Softmax × V,3,1830813696,0.003746,0.260759,-3.180149,3.354412
gpt2_wt2,gpt2,gpt2,attn_context,Softmax × V,4,1830813696,-0.004253,0.246206,-4.595229,3.376949
gpt2_wt2,gpt2,gpt2,attn_context,Softmax × V,5,1830813696,-0.004163,0.283619,-5.826547,6.061678
gpt2_wt2,gpt2,gpt2,attn_context,Softmax × V,6,1830813696,-0.000185,0.229644,-6.055652,4.253172
gpt2_wt2,gpt2,gpt2,attn_context,Softmax × V,7,1830813696,-0.002031,0.247196,-5.872127,5.392191
gpt2_wt2,gpt2,gpt2,attn_context,Softmax × V,8,1830813696,-0.001312,0.268898,-5.345208,5.682587
gpt2_wt2,gpt2,gpt2,attn_context,Softmax × V,9,1830813696,0.003254,0.292109,-6.713140,6.054553
gpt2_wt2,gpt2,gpt2,attn_context,Softmax × V,10,1830813696,-0.011689,0.362063,-7.213156,9.376167
gpt2_wt2,gpt2,gpt2,attn_context,Softmax × V,11,1830813696,0.001925,0.537151,-13.660481,13.689495
gpt2_wt2,gpt2,gpt2,attn_output,Attn × Wₒ,0,1830813696,0.000388,1.205755,-20.167683,20.331470
gpt2_wt2,gpt2,gpt2,attn_output,Attn × Wₒ,1,1830813696,-0.003699,0.392110,-19.004726,33.110321
gpt2_wt2,gpt2,gpt2,attn_output,Attn × Wₒ,2,1830813696,0.002764,0.334299,-9.213019,12.386597
gpt2_wt2,gpt2,gpt2,attn_output,Attn × Wₒ,3,1830813696,0.004734,0.370172,-8.764627,22.488718
gpt2_wt2,gpt2,gpt2,attn_output,Attn × Wₒ,4,1830813696,0.004347,0.378864,-9.468527,18.811956
gpt2_wt2,gpt2,gpt2,attn_output,Attn × Wₒ,5,1830813696,0.006140,0.503729,-14.697230,27.653854
gpt2_wt2,gpt2,gpt2,attn_output,Attn × Wₒ,6,1830813696,0.008979,0.538640,-10.652809,29.606867
gpt2_wt2,gpt2,gpt2,attn_output,Attn × Wₒ,7,1830813696,0.013515,0.751547,-18.541117,46.961296
gpt2_wt2,gpt2,gpt2,attn_output,Attn × Wₒ,8,1830813696,0.004394,0.771244,-26.000158,44.001762
gpt2_wt2,gpt2,gpt2,attn_output,Attn × Wₒ,9,1830813696,0.010523,1.176679,-46.814545,49.070808
gpt2_wt2,gpt2,gpt2,attn_output,Attn × Wₒ,10,1830813696,0.025009,1.835246,-72.507828,73.301872
gpt2_wt2,gpt2,gpt2,attn_output,Attn × Wₒ,11,1830813696,-0.313477,11.167062,-2613.328369,245.998093
gpt2_wt2,gpt2,gpt2,post_attn_ln,Post-Attn sub-block,0,1830813696,-0.001087,1.229678,-20.038021,20.021944
gpt2_wt2,gpt2,gpt2,post_attn_ln,Post-Attn sub-block,1,1830813696,-0.009344,2.009010,-82.268578,153.956573
gpt2_wt2,gpt2,gpt2,post_attn_ln,Post-Attn sub-block,2,1830813696,-0.003489,2.378218,-82.808128,639.480835
gpt2_wt2,gpt2,gpt2,post_attn_ln,Post-Attn sub-block,3,1830813696,0.008226,4.719046,-82.904160,2500.073242
gpt2_wt2,gpt2,gpt2,post_attn_ln,Post-Attn sub-block,4,1830813696,0.014444,5.067697,-82.196846,2699.455566
gpt2_wt2,gpt2,gpt2,post_attn_ln,Post-Attn sub-block,5,1830813696,0.022390,5.390871,-80.050514,2855.862061
gpt2_wt2,gpt2,gpt2,post_attn_ln,Post-Attn sub-block,6,1830813696,0.034306,5.664435,-74.776581,2962.180176
gpt2_wt2,gpt2,gpt2,post_attn_ln,Post-Attn sub-block,7,1830813696,0.053375,5.996958,-68.954407,3024.427734
gpt2_wt2,gpt2,gpt2,post_attn_ln,Post-Attn sub-block,8,1830813696,0.061571,6.373104,-64.737495,3063.583740
gpt2_wt2,gpt2,gpt2,post_attn_ln,Post-Attn sub-block,9,1830813696,0.074526,7.009410,-90.777054,3087.509277
gpt2_wt2,gpt2,gpt2,post_attn_ln,Post-Attn sub-block,10,1830813696,0.108263,8.278702,-143.805557,3100.066895
gpt2_wt2,gpt2,gpt2,post_attn_ln,Post-Attn sub-block,11,1830813696,-0.127479,15.230731,-258.185974,490.362549
gpt2_wt2,gpt2,gpt2,gelu_input,FFN1 (GELU in),0,7323254784,-1.016365,0.871685,-10.990733,12.591407
gpt2_wt2,gpt2,gpt2,gelu_input,FFN1 (GELU in),1,7323254784,-0.690664,0.933221,-18.900656,18.885176
gpt2_wt2,gpt2,gpt2,gelu_input,FFN1 (GELU in),2,7323254784,-1.043955,1.040346,-39.716881,63.040253
gpt2_wt2,gpt2,gpt2,gelu_input,FFN1 (GELU in),3,7323254784,-1.160858,0.974159,-16.773638,11.148871
gpt2_wt2,gpt2,gpt2,gelu_input,FFN1 (GELU in),4,7323254784,-0.998390,0.930075,-10.890987,6.842650
gpt2_wt2,gpt2,gpt2,gelu_input,FFN1 (GELU in),5,7323254784,-1.047642,0.951187,-8.665037,6.455575
gpt2_wt2,gpt2,gpt2,gelu_input,FFN1 (GELU in),6,7323254784,-0.967597,0.902620,-10.316647,6.884429
gpt2_wt2,gpt2,gpt2,gelu_input,FFN1 (GELU in),7,7323254784,-0.953790,0.871948,-8.862210,7.938270
gpt2_wt2,gpt2,gpt2,gelu_input,FFN1 (GELU in),8,7323254784,-0.977990,0.870317,-8.139929,8.228127
gpt2_wt2,gpt2,gpt2,gelu_input,FFN1 (GELU in),9,7323254784,-0.995433,0.871269,-13.141538,10.646865
gpt2_wt2,gpt2,gpt2,gelu_input,FFN1 (GELU in),10,7323254784,-0.938686,0.903861,-14.980305,23.232023
gpt2_wt2,gpt2,gpt2,gelu_input,FFN1 (GELU in),11,7323254784,-0.849449,0.941238,-31.276060,42.182957
gpt2_wt2,gpt2,gpt2,gelu_output,GELU output,0,7323254784,-0.050115,0.196452,-0.170041,12.591407
gpt2_wt2,gpt2,gpt2,gelu_output,GELU output,1,7323254784,-0.030090,0.156205,-0.170041,18.885176
gpt2_wt2,gpt2,gpt2,gelu_output,GELU output,2,7323254784,-0.045870,0.165847,-0.170041,63.040253
gpt2_wt2,gpt2,gpt2,gelu_output,GELU output,3,7323254784,-0.056055,0.151625,-0.170041,11.148871
gpt2_wt2,gpt2,gpt2,gelu_output,GELU output,4,7323254784,-0.054618,0.159160,-0.170041,6.842650
gpt2_wt2,gpt2,gpt2,gelu_output,GELU output,5,7323254784,-0.049640,0.172386,-0.170041,6.455575
gpt2_wt2,gpt2,gpt2,gelu_output,GELU output,6,7323254784,-0.048887,0.182525,-0.170041,6.884429
gpt2_wt2,gpt2,gpt2,gelu_output,GELU output,7,7323254784,-0.052462,0.190738,-0.170041,7.938270
gpt2_wt2,gpt2,gpt2,gelu_output,GELU output,8,7323254784,-0.053491,0.197507,-0.170041,8.228127
gpt2_wt2,gpt2,gpt2,gelu_output,GELU output,9,7323254784,-0.054183,0.207134,-0.170041,10.646865
gpt2_wt2,gpt2,gpt2,gelu_output,GELU output,10,7323254784,-0.040989,0.247393,-0.170041,23.232023
gpt2_wt2,gpt2,gpt2,gelu_output,GELU output,11,7323254784,-0.025764,0.287361,-0.170041,42.182957
gpt2_wt2,gpt2,gpt2,ffn2_output,FFN2 output,0,1830813696,-0.004559,0.969840,-82.301247,123.492470
gpt2_wt2,gpt2,gpt2,ffn2_output,FFN2 output,1,1830813696,0.003091,0.883384,-16.576372,518.909546
gpt2_wt2,gpt2,gpt2,ffn2_output,FFN2 output,2,1830813696,0.006981,3.747096,-15.728493,2351.827637
gpt2_wt2,gpt2,gpt2,ffn2_output,FFN2 output,3,1830813696,0.001871,0.602742,-18.698654,204.290512
gpt2_wt2,gpt2,gpt2,ffn2_output,FFN2 output,4,1830813696,0.001806,0.586113,-20.619904,157.817749
gpt2_wt2,gpt2,gpt2,ffn2_output,FFN2 output,5,1830813696,0.002937,0.647551,-20.948887,105.580917
gpt2_wt2,gpt2,gpt2,ffn2_output,FFN2 output,6,1830813696,0.005554,0.733868,-26.306936,61.561581
gpt2_wt2,gpt2,gpt2,ffn2_output,FFN2 output,7,1830813696,0.003802,0.874596,-34.231857,37.261860
gpt2_wt2,gpt2,gpt2,ffn2_output,FFN2 output,8,1830813696,0.002432,1.058309,-31.049902,33.159607
gpt2_wt2,gpt2,gpt2,ffn2_output,FFN2 output,9,1830813696,0.008728,1.356688,-36.061371,43.843529
gpt2_wt2,gpt2,gpt2,ffn2_output,FFN2 output,10,1830813696,0.077735,2.631940,-118.143166,181.857971
gpt2_wt2,gpt2,gpt2,ffn2_output,FFN2 output,11,1830813696,-0.000986,3.242175,-204.990692,270.517944
gpt2_wt2,gpt2,gpt2,post_ffn_ln,Post-FFN sub-block,0,1830813696,-0.005645,1.855759,-82.445694,123.179703
gpt2_wt2,gpt2,gpt2,post_ffn_ln,Post-FFN sub-block,1,1830813696,-0.006253,2.309311,-82.819473,639.516479
gpt2_wt2,gpt2,gpt2,post_ffn_ln,Post-FFN sub-block,2,1830813696,0.003492,4.669584,-82.736496,2502.889648
gpt2_wt2,gpt2,gpt2,post_ffn_ln,Post-FFN sub-block,3,1830813696,0.010097,5.020248,-82.105469,2700.476807
gpt2_wt2,gpt2,gpt2,post_ffn_ln,Post-FFN sub-block,4,1830813696,0.016250,5.314241,-79.921417,2857.044434
gpt2_wt2,gpt2,gpt2,post_ffn_ln,Post-FFN sub-block,5,1830813696,0.025328,5.569369,-74.524437,2961.246826
gpt2_wt2,gpt2,gpt2,post_ffn_ln,Post-FFN sub-block,6,1830813696,0.039860,5.811690,-68.611534,3023.697021
gpt2_wt2,gpt2,gpt2,post_ffn_ln,Post-FFN sub-block,7,1830813696,0.057178,6.155049,-63.235767,3061.595215
gpt2_wt2,gpt2,gpt2,post_ffn_ln,Post-FFN sub-block,8,1830813696,0.064003,6.565612,-66.720428,3085.617676
gpt2_wt2,gpt2,gpt2,post_ffn_ln,Post-FFN sub-block,9,1830813696,0.083254,7.341048,-92.543457,3098.703125
gpt2_wt2,gpt2,gpt2,post_ffn_ln,Post-FFN sub-block,10,1830813696,0.185998,9.293440,-180.012558,3103.276123
gpt2_wt2,gpt2,gpt2,post_ffn_ln,Post-FFN sub-block,11,1830813696,-0.128465,16.880418,-367.535461,586.684448
gpt2_wt2,gpt2,gpt2,ln1_input,LN₁ input (pre-norm),0,1830813696,-0.001474,0.167929,-4.788843,4.079855
gpt2_wt2,gpt2,gpt2,ln1_input,LN₁ input (pre-norm),1,1830813696,-0.005645,1.855759,-82.445694,123.179703
gpt2_wt2,gpt2,gpt2,ln1_input,LN₁ input (pre-norm),2,1830813696,-0.006253,2.309311,-82.819473,639.516479
gpt2_wt2,gpt2,gpt2,ln1_input,LN₁ input (pre-norm),3,1830813696,0.003492,4.669584,-82.736496,2502.889648
gpt2_wt2,gpt2,gpt2,ln1_input,LN₁ input (pre-norm),4,1830813696,0.010097,5.020248,-82.105469,2700.476807
gpt2_wt2,gpt2,gpt2,ln1_input,LN₁ input (pre-norm),5,1830813696,0.016250,5.314241,-79.921417,2857.044434
gpt2_wt2,gpt2,gpt2,ln1_input,LN₁ input (pre-norm),6,1830813696,0.025328,5.569369,-74.524437,2961.246826
