task,arch,model,probe,probe_display,layer,count,mean,std,min,max
cola,bert,textattack/bert-base-uncased-CoLA,qkt_raw,QKᵀ (raw),4,1681195008,-3.550547,13.603275,-85.938217,122.087692
cola,bert,textattack/bert-base-uncased-CoLA,qkt_raw,QKᵀ (raw),5,1681195008,-2.078878,18.316567,-136.934555,119.072990
cola,bert,textattack/bert-base-uncased-CoLA,qkt_raw,QKᵀ (raw),6,1681195008,3.764796,17.969098,-134.998810,127.358910
cola,bert,textattack/bert-base-uncased-CoLA,qkt_raw,QKᵀ (raw),7,1681195008,6.548287,15.535016,-120.446854,130.872177
cola,bert,textattack/bert-base-uncased-CoLA,qkt_raw,QKᵀ (raw),8,1681195008,16.392240,12.459381,-82.576462,144.548340
cola,bert,textattack/bert-base-uncased-CoLA,qkt_raw,QKᵀ (raw),9,1681195008,14.911336,12.935077,-127.114799,124.498901
cola,bert,textattack/bert-base-uncased-CoLA,qkt_raw,QKᵀ (raw),10,1681195008,-5.218769,17.159589,-159.892365,121.688446
cola,bert,textattack/bert-base-uncased-CoLA,qkt_raw,QKᵀ (raw),11,1681195008,-8.075014,14.066668,-113.139679,97.327011
cola,bert,textattack/bert-base-uncased-CoLA,attn_scores,QKᵀ/√dₖ + mask,0,1681195008,-310169450656826017806995432616100888576.000000,96644194881692624965390546380970262528.000000,-340282346638528859811704183484516925440.000000,11.924963
cola,bert,textattack/bert-base-uncased-CoLA,attn_scores,QKᵀ/√dₖ + mask,1,1681195008,-310169450656826017806995432616100888576.000000,96644194881692624965390546380970262528.000000,-340282346638528859811704183484516925440.000000,17.136511
cola,bert,textattack/bert-base-uncased-CoLA,attn_scores,QKᵀ/√dₖ + mask,2,1681195008,-310169450656826017806995432616100888576.000000,96644194881692624965390546380970262528.000000,-340282346638528859811704183484516925440.000000,31.354250
cola,bert,textattack/bert-base-uncased-CoLA,attn_scores,QKᵀ/√dₖ + mask,3,1681195008,-310169450656826017806995432616100888576.000000,96644194881692624965390546380970262528.000000,-340282346638528859811704183484516925440.000000,17.102139
cola,bert,textattack/bert-base-uncased-CoLA,attn_scores,QKᵀ/√dₖ + mask,4,1681195008,-310169450656826017806995432616100888576.000000,96644194881692624965390546380970262528.000000,-340282346638528859811704183484516925440.000000,15.260962
cola,bert,textattack/bert-base-uncased-CoLA,attn_scores,QKᵀ/√dₖ + mask,5,1681195008,-310169450656826017806995432616100888576.000000,96644194881692624965390546380970262528.000000,-340282346638528859811704183484516925440.000000,14.884124
cola,bert,textattack/bert-base-uncased-CoLA,attn_scores,QKᵀ/√dₖ + mask,6,1681195008,-310169450656826017806995432616100888576.000000,96644194881692624965390546380970262528.000000,-340282346638528859811704183484516925440.000000,15.919864
