task,arch,model,probe,probe_display,layer,count,mean,std,min,max
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,10,1120796672,-0.028493,1.128837,-8.265574,8.056175
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,11,1120796672,-0.009930,0.992538,-7.260694,7.670599
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,12,1120796672,-0.002258,0.998056,-7.769486,8.440280
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,13,1120796672,-0.001804,1.061713,-6.596508,7.005777
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,14,1120796672,0.017564,0.976727,-7.300313,7.113711
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,15,1120796672,-0.010059,0.873957,-6.816728,6.728152
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,16,1120796672,-0.006591,1.135917,-7.869578,7.537042
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,17,1120796672,0.002783,1.263193,-9.374850,8.526836
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,18,1120796672,0.017775,1.070441,-7.303759,7.232109
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,19,1120796672,-0.005325,0.990325,-7.952869,7.093396
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,20,1120796672,0.016972,1.059505,-7.479355,7.693439
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,21,1120796672,0.000360,1.170335,-7.767639,7.968654
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,22,1120796672,-0.009896,1.245001,-8.623249,8.154242
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,23,1120796672,0.007349,1.347622,-9.041317,9.076888
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,0,1120796672,-0.006232,0.370293,-6.466997,3.359040
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,1,1120796672,-0.004167,0.575227,-5.283235,5.692661
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,2,1120796672,-0.017513,0.410317,-4.723022,4.890303
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,3,1120796672,0.006132,0.332355,-4.447207,4.478828
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,4,1120796672,0.001957,0.294321,-4.597986,4.969510
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,5,1120796672,0.005321,0.237213,-4.510627,4.646433
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,6,1120796672,0.000574,0.220043,-4.618210,5.140509
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,7,1120796672,0.001284,0.212821,-4.865582,4.458264
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,8,1120796672,-0.001568,0.220117,-4.722827,5.325914
