episode,rolling60_mean,rolling60_min,rolling60_max,rolling300_mean,rolling300_min,rolling300_max,rolling1000_mean,rolling1000_min,rolling1000_max
138,37.34696511,37.06990072,37.88058921,,,,,,
139,37.34441177,37.06990072,37.88058921,,,,,,
140,37.34950674,37.06990072,37.88058921,,,,,,
141,37.35788006,37.06990072,37.88058921,,,,,,
142,37.36294867,37.06990072,37.88058921,,,,,,
143,37.36039960,37.06990072,37.88058921,,,,,,
144,37.35201360,37.06990072,37.88058921,,,,,,
145,37.34106573,37.06990072,37.88058921,,,,,,
146,37.33344377,37.06990072,37.88058921,,,,,,
147,37.32582182,37.06990072,37.88058921,,,,,,
148,37.32837418,37.06990072,37.88058921,,,,,,
149,37.31998817,37.06990072,37.88058921,,,,,,
150,37.32758930,37.06990072,37.88058921,,,,,,
151,37.32758930,37.06990072,37.88058921,,,,,,
152,37.32758930,37.06990072,37.88058921,,,,,,
153,37.32758930,37.06990072,37.88058921,,,,,,
154,37.33010873,37.06990072,37.88058921,,,,,,
155,37.34102192,37.06990072,37.88058921,,,,,,
156,37.33337788,37.06990072,37.88058921,,,,,,
157,37.33337788,37.06990072,37.88058921,,,,,,
158,37.34684519,37.06990072,37.88058921,,,,,,
159,37.35192649,37.06990072,37.88058921,,,,,,
160,37.35192649,37.06990072,37.88058921,,,,,,
161,37.35192649,37.06990072,37.88058921,,,,,,
162,37.34940706,37.06990072,37.88058921,,,,,,
163,37.34940706,37.06990072,37.88058921,,,,,,
164,37.33589559,37.06990072,37.87875913,,,,,,
165,37.34098957,37.06990072,37.87875913,,,,,,
166,37.34102407,37.06990072,37.87875913,,,,,,
167,37.33338089,37.06990072,37.87875913,,,,,,
168,37.33338089,37.06990072,37.87875913,,,,,,
169,37.33261684,37.06990072,37.87875913,,,,,,
170,37.33260415,37.06990072,37.87875913,,,,,,
171,37.33260415,37.06990072,37.87875913,,,,,,
172,37.33260415,37.06990072,37.87875913,,,,,,
173,37.32496012,37.06990072,37.87875913,,,,,,
174,36.64628076,-3.19229440,37.87875913,,,,,,
175,36.64628076,-3.19229440,37.87875913,,,,,,
176,36.64118579,-3.19229440,37.87875913,,,,,,
177,36.64372644,-3.19229440,37.87875913,,,,,,
178,36.64372644,-3.19229440,37.87875913,,,,,,
179,36.63608366,-3.19229440,37.87875913,,,,,,
180,36.63608366,-3.19229440,37.87875913,,,,,,
181,36.64955096,-3.19229440,37.87875913,,,,,,
182,36.65206758,-3.19229440,37.87875913,,,,,,
183,36.65205391,-3.19229440,37.87793885,,,,,,
184,36.65205391,-3.19229440,37.87793885,,,,,,
185,36.65460725,-3.19229440,37.87793885,,,,,,
186,36.65968855,-3.19229440,37.87793885,,,,,,
187,36.64874921,-3.19229440,37.87793885,,,,,,
