timestamp,gpu_idx,util_pct,mem_used_mib
2026/05/24 08:52:33.567, 0, 0, 1
2026/05/24 08:52:33.568, 1, 0, 1
2026/05/24 08:52:33.569, 2, 0, 1
2026/05/24 08:52:33.571, 3, 0, 1
2026/05/24 08:52:48.658, 0, 0, 866
2026/05/24 08:52:48.660, 1, 0, 4
2026/05/24 08:52:48.661, 2, 0, 4
2026/05/24 08:52:48.662, 3, 0, 4
2026/05/24 08:53:03.847, 0, 0, 10380
2026/05/24 08:53:03.849, 1, 0, 10088
2026/05/24 08:53:03.850, 2, 0, 10088
2026/05/24 08:53:03.851, 3, 0, 10088
2026/05/24 08:53:18.937, 0, 1, 10392
2026/05/24 08:53:18.939, 1, 0, 10088
2026/05/24 08:53:18.941, 2, 0, 10088
2026/05/24 08:53:18.942, 3, 0, 10088
2026/05/24 08:53:34.028, 0, 9, 10392
2026/05/24 08:53:34.031, 1, 0, 10088
2026/05/24 08:53:34.033, 2, 0, 10088
2026/05/24 08:53:34.034, 3, 0, 10088
2026/05/24 08:53:49.168, 0, 100, 10488
2026/05/24 08:53:49.171, 1, 99, 10088
2026/05/24 08:53:49.173, 2, 100, 10088
2026/05/24 08:53:49.175, 3, 0, 10088
2026/05/24 08:54:04.271, 0, 100, 10488
2026/05/24 08:54:04.274, 1, 100, 10088
2026/05/24 08:54:04.275, 2, 0, 10088
2026/05/24 08:54:04.276, 3, 0, 10088
2026/05/24 08:54:19.361, 0, 6, 10488
2026/05/24 08:54:19.363, 1, 0, 10088
2026/05/24 08:54:19.364, 2, 0, 10088
2026/05/24 08:54:19.366, 3, 0, 10088
2026/05/24 08:54:34.602, 0, 100, 10488
2026/05/24 08:54:34.606, 1, 100, 10088
2026/05/24 08:54:34.610, 2, 100, 10088
2026/05/24 08:54:34.613, 3, 0, 10088
2026/05/24 08:54:49.789, 0, 100, 10488
2026/05/24 08:54:49.791, 1, 100, 10088
2026/05/24 08:54:49.792, 2, 42, 10088
2026/05/24 08:54:49.794, 3, 0, 10088
2026/05/24 08:55:04.894, 0, 13, 10488
2026/05/24 08:55:04.896, 1, 0, 10088
2026/05/24 08:55:04.897, 2, 0, 10088
2026/05/24 08:55:04.899, 3, 0, 10088
2026/05/24 08:55:20.006, 0, 100, 10490
2026/05/24 08:55:20.010, 1, 0, 10088
2026/05/24 08:55:20.013, 2, 0, 10088
2026/05/24 08:55:20.016, 3, 0, 10088
