sample,timestamp,index,name,memory_used_mib,utilization_gpu_pct,power_draw_w
13,2026/07/13 22:16:53.918, 4, NVIDIA GeForce RTX 5090, 3065, 35, 240.75
14,2026/07/13 22:16:55.048, 0, NVIDIA GeForce RTX 5090, 3245, 41, 211.39
14,2026/07/13 22:16:55.054, 1, NVIDIA GeForce RTX 5090, 3065, 40, 202.13
14,2026/07/13 22:16:55.060, 2, NVIDIA GeForce RTX 5090, 3065, 34, 207.56
14,2026/07/13 22:16:55.063, 3, NVIDIA GeForce RTX 5090, 3065, 37, 203.04
14,2026/07/13 22:16:55.066, 4, NVIDIA GeForce RTX 5090, 3065, 3, 213.83
15,2026/07/13 22:16:56.206, 0, NVIDIA GeForce RTX 5090, 3245, 39, 212.62
15,2026/07/13 22:16:56.212, 1, NVIDIA GeForce RTX 5090, 3065, 41, 205.55
15,2026/07/13 22:16:56.215, 2, NVIDIA GeForce RTX 5090, 3065, 30, 204.27
15,2026/07/13 22:16:56.219, 3, NVIDIA GeForce RTX 5090, 3065, 40, 210.54
15,2026/07/13 22:16:56.222, 4, NVIDIA GeForce RTX 5090, 3065, 38, 217.04
16,2026/07/13 22:16:57.336, 0, NVIDIA GeForce RTX 5090, 3245, 34, 238.06
16,2026/07/13 22:16:57.340, 1, NVIDIA GeForce RTX 5090, 3065, 34, 232.44
16,2026/07/13 22:16:57.343, 2, NVIDIA GeForce RTX 5090, 3065, 39, 235.91
16,2026/07/13 22:16:57.346, 3, NVIDIA GeForce RTX 5090, 3065, 37, 233.70
16,2026/07/13 22:16:57.349, 4, NVIDIA GeForce RTX 5090, 3065, 40, 246.55
17,2026/07/13 22:16:58.461, 0, NVIDIA GeForce RTX 5090, 3245, 2, 177.18
17,2026/07/13 22:16:58.469, 1, NVIDIA GeForce RTX 5090, 3065, 0, 157.19
17,2026/07/13 22:16:58.473, 2, NVIDIA GeForce RTX 5090, 3065, 0, 164.64
17,2026/07/13 22:16:58.477, 3, NVIDIA GeForce RTX 5090, 3065, 0, 168.42
17,2026/07/13 22:16:58.481, 4, NVIDIA GeForce RTX 5090, 3065, 50, 194.15
18,2026/07/13 22:16:59.598, 0, NVIDIA GeForce RTX 5090, 3245, 35, 225.99
18,2026/07/13 22:16:59.606, 1, NVIDIA GeForce RTX 5090, 3065, 38, 235.23
18,2026/07/13 22:16:59.611, 2, NVIDIA GeForce RTX 5090, 3065, 39, 226.05
18,2026/07/13 22:16:59.615, 3, NVIDIA GeForce RTX 5090, 3065, 33, 219.48
18,2026/07/13 22:16:59.618, 4, NVIDIA GeForce RTX 5090, 3065, 2, 218.99
19,2026/07/13 22:17:00.710, 0, NVIDIA GeForce RTX 5090, 3245, 34, 239.55
19,2026/07/13 22:17:00.715, 1, NVIDIA GeForce RTX 5090, 3065, 11, 227.23
19,2026/07/13 22:17:00.719, 2, NVIDIA GeForce RTX 5090, 3065, 0, 217.27
19,2026/07/13 22:17:00.722, 3, NVIDIA GeForce RTX 5090, 3065, 41, 234.20
19,2026/07/13 22:17:00.727, 4, NVIDIA GeForce RTX 5090, 3065, 40, 228.25
20,2026/07/13 22:17:01.844, 0, NVIDIA GeForce RTX 5090, 3245, 34, 216.68
20,2026/07/13 22:17:01.849, 1, NVIDIA GeForce RTX 5090, 3065, 34, 202.45
20,2026/07/13 22:17:01.853, 2, NVIDIA GeForce RTX 5090, 3065, 35, 214.29
20,2026/07/13 22:17:01.857, 3, NVIDIA GeForce RTX 5090, 3065, 40, 211.51
20,2026/07/13 22:17:01.861, 4, NVIDIA GeForce RTX 5090, 3065, 35, 220.11
21,2026/07/13 22:17:02.997, 0, NVIDIA GeForce RTX 5090, 3245, 34, 211.25
21,2026/07/13 22:17:03.002, 1, NVIDIA GeForce RTX 5090, 3065, 35, 203.51
21,2026/07/13 22:17:03.007, 2, NVIDIA GeForce RTX 5090, 3065, 37, 205.25
