timestamp,gpu_idx,util_pct,mem_used_mib
2026/05/20 20:51:57.669, 0, 0, 2
2026/05/20 20:51:57.685, 1, 0, 2
2026/05/20 20:52:12.810, 0, 0, 980
2026/05/20 20:52:12.813, 1, 0, 4
2026/05/20 21:01:58.053, 0, 98, 3738
2026/05/20 21:01:58.059, 1, 98, 3732
2026/05/20 21:02:13.146, 0, 98, 3738
2026/05/20 21:02:13.153, 1, 0, 3732
2026/05/20 21:02:28.258, 0, 10, 3738
2026/05/20 21:02:28.264, 1, 0, 3732
2026/05/20 21:02:43.354, 0, 97, 3738
2026/05/20 21:02:43.360, 1, 98, 3732
2026/05/20 21:02:58.442, 0, 98, 3738
2026/05/20 21:02:58.446, 1, 97, 3732
2026/05/20 21:03:13.529, 0, 98, 3738
2026/05/20 21:03:13.533, 1, 45, 3732
2026/05/20 21:03:28.630, 0, 22, 3738
2026/05/20 21:03:28.636, 1, 0, 3732
2026/05/20 21:03:43.736, 0, 98, 3738
2026/05/20 21:03:43.743, 1, 0, 3732
2026/05/20 21:03:58.832, 0, 3, 3738
2026/05/20 21:03:58.839, 1, 0, 3732
2026/05/20 21:04:13.911, 0, 23, 3738
2026/05/20 21:04:13.918, 1, 0, 3732
2026/05/20 21:04:29.008, 0, 96, 3738
2026/05/20 21:04:29.012, 1, 0, 3732
2026/05/20 21:04:44.090, 0, 98, 3738
2026/05/20 21:04:44.097, 1, 98, 3732
2026/05/20 21:04:59.163, 0, 97, 3738
2026/05/20 21:04:59.168, 1, 97, 3732
2026/05/20 21:05:14.253, 0, 98, 3738
2026/05/20 21:05:14.260, 1, 0, 3732
2026/05/20 21:05:29.361, 0, 98, 3738
2026/05/20 21:05:29.371, 1, 98, 3732
2026/05/20 21:05:44.451, 0, 98, 3738
2026/05/20 21:05:44.455, 1, 0, 3732
2026/05/20 21:05:59.562, 0, 98, 3738
2026/05/20 21:05:59.569, 1, 0, 3732
2026/05/20 21:06:14.675, 0, 68, 3738
2026/05/20 21:06:14.680, 1, 11, 3732
2026/05/20 21:06:29.781, 0, 97, 3738
2026/05/20 21:06:29.787, 1, 97, 3732
2026/05/20 21:06:44.873, 0, 97, 3738
2026/05/20 21:06:44.879, 1, 68, 3732
2026/05/20 21:06:59.964, 0, 52, 3738
2026/05/20 21:06:59.971, 1, 0, 3732
2026/05/20 21:07:15.078, 0, 97, 3738
