root	relative_path	storage	archive_path	raw_bytes	raw_sha256	archive_bytes	archive_sha256	raw_lines
persistent_run	stage2_noise/progress/layerwise_summary.json	copy	small_files/persistent_run/stage2_noise/progress/layerwise_summary.json	368037	af656473103769182be36d639208914b7094fcf294e84e4e1ff365e3d299a768	368037	af656473103769182be36d639208914b7094fcf294e84e4e1ff365e3d299a768	15463
persistent_run	stage2_noise/progress/rl_data_points_run_id.txt	copy	small_files/persistent_run/stage2_noise/progress/rl_data_points_run_id.txt	105	af97e643799d5a8d3f8a55adafb2239fb1d3d5cf3c91bdfe05fcf32295b138a1	105	af97e643799d5a8d3f8a55adafb2239fb1d3d5cf3c91bdfe05fcf32295b138a1	1
persistent_run	stage2_noise/pruning_search_log.txt	copy	small_files/persistent_run/stage2_noise/pruning_search_log.txt	11199	759909873d4d182ba1b1ad2ae7dd64215e67385666709c25881142bf54edce89	11199	759909873d4d182ba1b1ad2ae7dd64215e67385666709c25881142bf54edce89	106
report	blb_stage2_diagnostics_curve.png	copy	small_files/report/blb_stage2_diagnostics_curve.png	274157	fc63b01ee3121cc38f2ec4146cfe2e4c17c23b7ebc4efe732d3292d0ff095023	274157	fc63b01ee3121cc38f2ec4146cfe2e4c17c23b7ebc4efe732d3292d0ff095023	
report	blb_stage2_entropy_curve.png	copy	small_files/report/blb_stage2_entropy_curve.png	90363	2a69c52332fc5293613848133b4b5e5bc6224a9bf30580fb94158018c324d535	90363	2a69c52332fc5293613848133b4b5e5bc6224a9bf30580fb94158018c324d535	
report	blb_stage2_layerwise_report.html	gzip	streams/report/blb_stage2_layerwise_report.html.gz	7844200	e95dedbee63a6329d38fe4226f8e67c009fb616783669a5e46dada0c104ed866	2612296	48b530ac303afc3d74d6751d75614ee2bdab6e0ae82563fac638b9d70008f98a	0
report	blb_stage2_reward_paper.pdf	copy	small_files/report/blb_stage2_reward_paper.pdf	155274	0153ee4b7465254910e4b7cf15a65f6cb79d074d6789096a5663ad4f5116e70c	155274	0153ee4b7465254910e4b7cf15a65f6cb79d074d6789096a5663ad4f5116e70c	
report	blb_stage2_reward_paper.png	copy	small_files/report/blb_stage2_reward_paper.png	74607	19975dc6620316766b6f9180223ecf33c10d25a37b3bba2dd0a8efa5f81d916e	74607	19975dc6620316766b6f9180223ecf33c10d25a37b3bba2dd0a8efa5f81d916e	
report	blb_stage2_search_log.txt	copy	small_files/report/blb_stage2_search_log.txt	255	71ef3d5f865e9abab1d348cfa2ff9419e34657fcb64b85332f590a58708542cf	255	71ef3d5f865e9abab1d348cfa2ff9419e34657fcb64b85332f590a58708542cf	10
report	blb_stage2_training_curve.npz	copy	small_files/report/blb_stage2_training_curve.npz	2409328	0cb5b0037d796ce61d399a03adc38dd22f59f2a61be5642e94e49a4f8807fc50	2409328	0cb5b0037d796ce61d399a03adc38dd22f59f2a61be5642e94e49a4f8807fc50	
report	blb_stage2_training_curve.png	copy	small_files/report/blb_stage2_training_curve.png	290217	06b9df30545b37938b4fa8677e693f2249fe9235c474d965ddb0cb3d3d4f136a	290217	06b9df30545b37938b4fa8677e693f2249fe9235c474d965ddb0cb3d3d4f136a	
structured_mirror	MIGRATION_RECEIPT.json	copy	small_files/structured_mirror/MIGRATION_RECEIPT.json	2158	7b98d81bd137bc4e7d672efd7a007c4143fa2d0209ef0173a8e3264b3723e9c3	2158	7b98d81bd137bc4e7d672efd7a007c4143fa2d0209ef0173a8e3264b3723e9c3	50
structured_mirror	RUN_IDENTITY.json	copy	small_files/structured_mirror/RUN_IDENTITY.json	1539	72b4ecfb743481a7150086683beab97a782f0b038a0384944721f4e47641b36b	1539	72b4ecfb743481a7150086683beab97a782f0b038a0384944721f4e47641b36b	26
structured_mirror	episodes.jsonl	gzip	streams/structured_mirror/episodes.jsonl.gz	575499244	ac5c55b469c6e3a0e926e459421862ada221d6c0f7a745b885fd95713d965450	62628949	c062a5976fe071ce3cba6ab1c8da1e1b2ed5c5a7a52810c44ead63e1323b8593	50000
structured_mirror	manifest.json	copy	small_files/structured_mirror/manifest.json	99226	2edacbf4e0fa185e3d2ab88285fbdd4a73c76385785cd106a661e027f095cdce	99226	2edacbf4e0fa185e3d2ab88285fbdd4a73c76385785cd106a661e027f095cdce	3217
structured_mirror	ppo_updates.jsonl	gzip	streams/structured_mirror/ppo_updates.jsonl.gz	92750860	fdc537083e64702ed7b6aa2f9523d19bb17226afb650d0ede816b8e3724c56b5	8655102	ad894261d713b6942cff94baa307c33ef8d6a68df3b443d43229dd5d88892679	417
structured_mirror	summary.json	copy	small_files/structured_mirror/summary.json	368037	af656473103769182be36d639208914b7094fcf294e84e4e1ff365e3d299a768	368037	af656473103769182be36d639208914b7094fcf294e84e4e1ff365e3d299a768	15463
